Date,Source,Target,Beta_Mean,Beta_Lower_94,Beta_Upper_94,Significant
2020-03-04,Stable_Volatility,Crypto_Volatility,-0.23885743260278894,-2.0659938392513584,1.687344829601101,False
2020-03-05,Stable_Volatility,Crypto_Volatility,-0.044120883716587136,-4.101752857224287,3.900445641654518,False
2020-03-06,Stable_Volatility,Crypto_Volatility,1.5262592686042293,-0.8943417009654324,3.7600323601900634,False
2020-03-07,Stable_Volatility,Crypto_Volatility,-0.8225040178066625,-2.7624762779931995,0.8757297131612316,False
2020-03-08,Stable_Volatility,Crypto_Volatility,-1.7541113248616795,-3.228936651274613,-0.15708397566031557,True
2020-03-09,Stable_Volatility,Crypto_Volatility,-0.07781802196369435,-1.1438595002374696,0.7934493560130471,False
2020-03-10,Stable_Volatility,Crypto_Volatility,-0.3992469289236689,-0.9697647801243463,0.10908704826292717,False
2020-03-11,Stable_Volatility,Crypto_Volatility,-1.0060073268014722,-2.5685254419410297,0.665206910340443,False
2020-03-12,Stable_Volatility,Crypto_Volatility,-3.1797006126029377,-5.21163804703861,-1.4486100466506864,True
2020-03-13,Stable_Volatility,Crypto_Volatility,0.2319701742839014,-0.34131785569815076,0.8755730729426041,False
2020-03-14,Stable_Volatility,Crypto_Volatility,-0.7025431666234211,-1.0157638027142886,-0.3508401231760756,True
2020-03-15,Stable_Volatility,Crypto_Volatility,-0.3798799367827567,-1.3233015820120149,0.8439561168435703,False
2020-03-16,Stable_Volatility,Crypto_Volatility,-0.4634627782694867,-1.167837804687854,0.356773814256936,False
2020-03-17,Stable_Volatility,Crypto_Volatility,-1.1485664167456258,-1.8322645245114981,-0.3569665121750823,True
2020-03-18,Stable_Volatility,Crypto_Volatility,0.08601894539686882,-1.2689492487188176,1.4773739362837,False
2020-03-19,Stable_Volatility,Crypto_Volatility,-0.9823253704987875,-1.7604950358317648,-0.19339233289555552,True
2020-03-20,Stable_Volatility,Crypto_Volatility,0.679160012078304,-1.1469022540105853,2.5082435022143525,False
2020-03-21,Stable_Volatility,Crypto_Volatility,-1.8564520323765836,-3.2390331434520245,-0.45057561576097277,True
2020-03-22,Stable_Volatility,Crypto_Volatility,-0.22228137103359477,-1.957528767113145,1.8308110983809178,False
2020-03-23,Stable_Volatility,Crypto_Volatility,0.2281631990595317,-1.0787757821450072,1.52330547259545,False
2020-03-24,Stable_Volatility,Crypto_Volatility,-1.3367198030971426,-4.786682840611917,2.071818014551301,False
2020-03-25,Stable_Volatility,Crypto_Volatility,-0.10036038596150718,-1.3099244798726106,0.9552430074934776,False
2020-03-26,Stable_Volatility,Crypto_Volatility,0.4521556062326596,-0.4956828602839801,1.7871817106181185,False
2020-03-27,Stable_Volatility,Crypto_Volatility,-0.9628060869281859,-2.8464051051891355,0.9136158546596636,False
2020-03-28,Stable_Volatility,Crypto_Volatility,-0.36743541378850497,-3.997402643130776,3.391081661779219,False
2020-03-29,Stable_Volatility,Crypto_Volatility,-1.2613174114471724,-3.4453112523998604,1.0626952288571734,False
2020-03-30,Stable_Volatility,Crypto_Volatility,-1.5414231596789505,-4.540931116311151,1.7170772840764483,False
2020-03-31,Stable_Volatility,Crypto_Volatility,-2.3351853279326638,-5.005099449780699,0.8122693081516158,False
2020-04-01,Stable_Volatility,Crypto_Volatility,-0.8788690768098059,-2.214643639933638,0.49741175828066275,False
2020-04-02,Stable_Volatility,Crypto_Volatility,-0.8079952565002837,-2.6523672422625237,0.8235723495664287,False
