Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,VolChange,LogVolChange,GarmanKlass,LogGarmanKlass,Delta_LogGK,Log Returns_Weekly,LogVolChange_Weekly,Delta_LogGK_Weekly,Log Returns_Monthly,LogVolChange_Monthly,Delta_LogGK_Monthly
2020-01-01,7196.61464775,7252.034227901,7182.140635881,7213.918462217,17174701192.721855,130562734340.6505,,,,,0.0066833508121819,-5.008135798612026,,,,,,,
2020-01-02,7214.705283027,7222.856260595,6953.660847796,6968.274896337,16978615552.320255,128456540022.85226,-0.0340513366163702,-0.0346445896769919,-0.0114171209269535,-0.011482796615457,0.0159609438225064,-4.13761055196046,0.8705252466515656,,,,,,
2020-01-03,6967.51107306,7384.887332524,6891.532175446,7317.184074338,23323885155.707115,130662850185.82352,0.0500710983983152,0.0488578746373267,0.3737212603603437,0.3175233059420377,0.0382630479622313,-3.2632706536832914,0.8743398982771686,,,,,,
2020-01-04,7324.098144991,7373.7943974,7290.638622143,7358.491964047,22091911757.372955,132598810198.4466,0.005645326028338,0.0056294508942036,-0.0528202480036954,-0.0542663917739712,0.007472175915908,-4.896569034983154,-1.6332983812998625,,,,,,
2020-01-05,7356.759129712,7475.155225639,7341.45668574,7352.362745092,18782091517.37236,134419222812.48914,-0.0008329449817906,-0.000833292073214,-0.1498204535827904,-0.162307720724848,0.0127561733955465,-4.361739936672826,0.5348290983103281,,,,,,
2020-01-06,7361.712600237,7764.21795016,7357.585483456,7764.21795016,20385990287.92437,136278512926.95404,0.0560167145375043,0.0545040133193212,0.085395109967838,0.0819440773558669,0.0187676434240325,-3.975620986397255,0.3861189502755704,,,,,,
2020-01-07,7751.389283527,8173.268894564,7751.389283527,8155.216395206,26898528961.36388,143243994478.9517,0.0503590248954748,0.0491320341970949,0.3194614821972719,0.2772236853243113,0.0201992127857592,-3.902111646336384,0.0735093400608715,0.12504704336407,,,,,
2020-01-08,8152.750894301,8431.806289382,7889.175445587,8055.759827258,32572235030.895,148885145141.64438,-0.0121954541888631,-0.0122704289312138,0.2109299760474128,0.1913886396517385,0.0464444214971199,-3.069498917874871,0.8326127284615126,0.11026599849118074,0.10050245098597443,0.3046974535962419,,,
2020-01-09,8047.810851678,8047.810851678,7781.210633946,7829.063239858,27423415908.25392,142893103636.11987,-0.0281409317384232,-0.0285444765344171,-0.1580738662163461,-0.1720629956858554,0.0165557840609834,-4.101019748126869,-1.0315208302519978,0.11658479591794543,0.06284440362592036,-0.018013516697535703,,,
2020-01-10,7821.633549759,8160.41356717,7699.760199871,8160.41356717,25445878088.332382,142683057758.6851,0.0423231128885361,0.0414519844079415,-0.0721112871765307,-0.0748434749135316,0.0315217852014951,-3.4570763784930074,0.6439433696338615,0.10812482275746205,0.01229877884299313,-0.45653131106325073,,,
2020-01-11,8173.013790191,8249.130106671,8024.156861576,8024.791558571,29273068672.2516,146762212989.91052,-0.0166195018772845,-0.0167591552740343,0.150405129295738,0.1401141666810143,0.0159027768590854,-4.141261539779154,-0.6841851612861465,0.08691619454128227,0.04053340790098403,0.048121163015785395,,,
2020-01-12,8031.849294841,8168.956022809,7979.109216272,8164.590607768,23264705657.57096,146765777200.64877,0.0174208947580309,0.0172708906027845,-0.2052522433487152,-0.2297305019051368,0.0131403360956775,-4.332068688195132,-0.1908071484159776,0.10351398934948945,0.024493370269652814,-0.12956566075624254,,,
2020-01-13,8174.754397887,8176.991753055,8065.080319568,8116.969510017,20209676488.402725,146622670428.85986,-0.0058326375489901,-0.0058497138115203,-0.1313160464668955,-0.1407759097032555,0.0086898864632173,-4.7455954050125815,-0.4135267168174499,0.04608478176991512,-0.0009521435344588269,-0.22163853623797136,,,
