Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Weekend,VolChange,LogVolChange,Parkinson,GarmanKlass,RV,Log RV,Delta_LogRV
2020-01-01,1.0012300064566917,1.004000064972745,0.999500900710292,1.0024852336638896,217590879.21407503,520471810.3675404,,,Wednesday,0,0,1,0,0,0,0,,,0.002697306461611862,0.0030788867090886544,,,
2020-01-02,1.0025434849754082,1.004175412633593,0.991363364863994,1.0013947663426932,238163826.488118,520500533.024933,-0.001087763973551,-0.0010883560181575,Thursday,0,0,0,1,0,0,0,0.0945487575046857,0.0903421847315339,0.007711726429056865,0.00905186141259419,,,
2020-01-03,1.0010294043202252,1.0090557063597154,0.9944602759938737,0.9999824522307011,309675233.2987656,518755087.65466857,-0.0014103470074545,-0.0014113424828825,Friday,0,0,0,0,1,0,0,0.3002614119244313,0.2625653303481084,0.008750221492382231,0.01028204955090957,,,
2020-01-04,1.0002329273462434,1.0016909936399638,0.9981091225348816,1.0001411213705966,262757742.04340288,518486323.0789331,0.0001586719242339,0.0001586593371755,Saturday,0,0,0,0,0,1,1,-0.1515054683436634,-0.1642916390471423,0.002151350135244571,0.0025323786949508716,,,
2020-01-05,1.0012167763310522,1.0020648453706682,0.9985077630343452,0.9988821505752946,231880691.71729887,518173515.3594405,-0.001258793152687,-0.0012595860982938,Sunday,0,0,0,0,0,0,1,-0.1175114768683149,-0.1250094952091823,0.002135636461512734,0.002053661940102646,,,
2020-01-06,1.0005001016376387,1.0014603818357382,0.9959987740655982,0.9983640728676884,276811376.9354622,516576895.1448667,-0.0005186574885814,-0.000518792037902,Monday,1,0,0,0,0,0,0,0.1937663929040771,0.1771133449941828,0.003284210247642051,0.003631542825024952,,,
2020-01-07,0.9995427434685225,1.0008777759516012,0.9955486246533428,1.0002433197440406,333835051.29630136,499907806.7319653,0.0018823262248954,0.0018805568688759,Tuesday,0,1,0,0,0,0,0,0.2060019172338212,0.1873106880498504,0.0032062179930229862,0.0037498318696483667,,,
2020-01-08,0.9991398120540472,1.0018755758701714,0.9960510425341764,1.0013108006191305,364901056.5195975,476077336.38598514,0.0010672211991009,0.0010666521234075,Wednesday,0,0,1,0,0,0,0,0.0930579491358529,0.0889792262115299,0.0035016287713654634,0.0038959023051268367,,,
2020-01-09,0.9970529027334484,1.0013353600576431,0.9958940171962626,0.9984131077703152,295733784.0867584,463613110.4411864,-0.0028938995235281,-0.0028980949467981,Thursday,0,0,0,1,0,0,0,-0.1895507595745325,-0.2101665672500472,0.0032724008017732463,0.0037586332974376205,,,
2020-01-10,1.0004192458659895,1.0033476209005312,0.996366042608637,0.9976559758416084,288377460.2256695,456104473.9067541,-0.0007583353251418,-0.0007586230068231,Friday,0,0,0,0,1,0,0,-0.0248748173422443,-0.0251894237564046,0.004193482476947451,0.004628508776110232,,,
