Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,VolChange,LogVolChange,GarmanKlass,LogGarmanKlass,Delta_LogGK,Log Returns_Weekly,LogVolChange_Weekly,Delta_LogGK_Weekly,Log Returns_Monthly,LogVolChange_Monthly,Delta_LogGK_Monthly
2020-01-01,13.724279835,13.847737839,13.667538424,13.693619904,177649772.56609115,2141378675.10134,,,,,0.0091570100549284,-4.693235566797911,,,,,,,
2020-01-02,13.703933462,13.721500675,13.001226383,13.013308475,174912372.79909655,2080825891.2056952,-0.0496809049593436,-0.050957461269325,-0.0154089685984607,-0.0155289205746607,0.0205125359283041,-3.8867190710352646,0.8065164957626467,,,,,,
2020-01-03,13.009996359,13.736945996,12.994510502,13.614522762,173270934.2645118,2099184655.0098035,0.046199956617873,0.0451645104879925,-0.0093843477640664,-0.0094286581897237,0.027325524461884,-3.599934051622152,0.2867850194131125,,,,,,
2020-01-04,13.618305714,13.839830314,13.535682736,13.797020269,183405684.2468505,2130685207.8242323,0.0134046202125701,0.0133155731696369,0.0584907677987538,0.056844089588524,0.0134621768600063,-4.307871239758448,-0.7079371881362961,,,,,,
2020-01-05,13.803653613,14.295120001,13.800641864,14.007872696,196313694.89744088,2185743982.1117525,0.0152824612045947,0.0151668606802119,0.0703795561386044,0.0680133109368293,0.0231584130595031,-3.7653971493718377,0.5424740903866105,,,,,,
2020-01-06,14.025292452,14.966374373,14.023331154,14.933361552,225622626.2593437,2258851963.958004,0.066069193808727,0.0639782334013894,0.1492964175383411,0.1391499443063127,0.024445453676377,-3.711311024057392,0.0540861253144457,,,,,,
2020-01-07,14.934826172,15.112286987,14.493508253,14.9724062,219317582.4500793,2310890518.241884,0.0026145920236406,0.0026111799241203,-0.0279450865092627,-0.0283429807566599,0.0295209168571389,-3.5226562208860117,0.1886548031713806,0.0870424053373318,,,,,
2020-01-08,15.012655445,15.239093638,14.224586488,14.54924611,207596968.8226364,2301058663.3433595,-0.0282626642870535,-0.0286697417886032,-0.0534412859037908,-0.054922277402825,0.0446463970750028,-3.108981667524572,0.4136745533614392,0.059856272890081746,0.021932725469326897,0.14452960075705112,,,
2020-01-09,14.528445782,14.54800599,14.251131093,14.415312741,190607721.9113158,2241846284.9259634,-0.0092055195154026,-0.0092481521489033,-0.0818376443917907,-0.0853810460381598,0.0137454122672313,-4.287050163836469,-1.1780684963118966,0.10257301371778535,0.011305666771505685,-0.13523583129544603,,,
2020-01-10,14.359470969,15.032368699,14.063219267,15.032368699,174734743.94898695,2258119289.6881294,0.0428055893816976,0.0419147630376221,-0.0832756291464104,-0.0869484289488015,0.0375562898365685,-3.281914409165179,1.0051357546712896,0.09879089335100881,0.0010479234566318496,-0.4874959217501007,,,
2020-01-11,15.0365732,15.27781941,14.762538091,14.927503012,222836749.19061127,2329919639.155029,-0.0069759922138534,-0.0070004382039002,0.2752858656185029,0.2431703618076961,0.0238346515762228,-3.7366148085894073,-0.4547003994242282,0.07827203952716594,0.02782276413112328,-0.07468727635349692,,,
2020-01-12,14.957592627,15.431629748,14.838420033,15.294583256,239621110.6610469,2368317270.663586,0.0245908671868904,0.024293378943214,0.0753213351540975,0.0726195333354294,0.0240114660123443,-3.729223812206284,0.0073909963831231,0.08663642677358181,0.029691559929144518,-0.2561931223559806,,,
2020-01-13,15.32490771,15.32490771,14.948192927,15.18620315,234243143.827556,2345548416.2530675,-0.0070861758170155,-0.0071114020029692,-0.0224436270187321,-0.0226993182164275,0.0166672869571985,-4.094307345482739,-0.3650835332764548,0.016691515523007124,0.005806455920854603,0.45872511765919555,,,
2020-01-14,15.170037283,16.848679532,15.170037283,16.66128669,267020252.8481831,2465165007.0738907,0.0971331362704706,0.0927005378948719,0.1399277199112252,0.1309648568096671,0.0459451707935343,-3.080306532688624,1.0140008127941154,0.10419432432550081,0.031535119318057525,0.530049471495559,,,
2020-01-15,16.623428784,17.991863226,15.759475349,17.611378999,1227944970.790141,2671069407.809699,0.0570239457898673,0.0554573611157559,3.598696007857879,1.5257727867553414,0.0865313036090755,-2.447249039076816,0.6330574936118083,0.1924367214432264,0.5092264163103657,0.13954961800003618,,,
2020-01-16,17.610523288,17.615666231,16.441584307,17.052657893,322629240.79782736,2619908292.2878323,-0.0317250060901945,-0.0322391474323867,-0.7372608313300666,-1.336593493024591,0.0444800671708367,-3.1127141189052314,-0.6654650798284161,0.17189635739016212,0.05034251659108335,0.08285059210926371,,,
2020-01-17,17.062281913,18.270022118,17.062281913,18.070840311,347782782.4573235,2770600227.7023487,0.0597081360799456,0.0579935268892378,0.0779642341075288,0.0750742939285449,0.0326287707444341,-3.422560841644484,-0.3098467227392523,0.183814159805733,0.06236740932982343,-0.3359764084345025,,,
2020-01-18,18.037916114,18.256102151,17.47182685,17.827310634,297355261.7214192,2781280590.0306425,-0.0134763891888171,-0.013568019886788,-0.1449971743270305,-0.1566505051701718,0.0301786156483189,-3.5006216965315,-0.0780608548870165,0.17551254779303951,0.02570332530530095,0.0037372724821094216,,,
2020-01-19,17.81258353,18.426971771,16.812759031,17.329092889,286482519.84381443,2730073238.430361,-0.0279468819065621,-0.0283448277705812,-0.0365648208633047,-0.037250069844749,0.0625287570159445,-2.772128715803855,0.7284929807276455,0.12290729934642045,0.015831740916077308,0.24974666445472637,,,
2020-01-20,17.38056363,17.534129147,16.841792685,17.316010502,252245860.13878244,2679734890.650255,-0.000754937784903,-0.0007552228939347,-0.1195069762849658,-0.1272732741720578,0.0283922997175133,-3.5616373072864564,-0.7895085914826017,0.13230928503360526,0.006016044803761389,-0.1391968591432402,,,
2020-01-21,17.306932594,18.172410463,17.183941226,18.137100777,278345833.27770096,2739506641.0749207,0.0474179820406763,0.0463280709807964,0.1034703726140784,0.0984600977942598,0.0267593841391628,-3.620870058218524,-0.0592327509320678,0.087146534208897,0.003766254742622266,-0.13411209413058867,,,
2020-01-22,18.149258384,18.35806384,17.6265445,17.779703057,295628822.800512,2789945849.177105,-0.0197053390392595,-0.0199020780612878,0.0620917845950583,0.0602403452575919,0.0257536875163999,-3.659177457604796,-0.0383073993862712,0.009560891534560701,-0.37027140371238687,-0.18157370515704008,,,
2020-01-23,17.799237842,17.799237842,16.782812717,17.009363391,231068767.8893811,2669817440.4821606,-0.0433269140395856,-0.0442935488559414,-0.2183821398047358,-0.2463893277018659,0.0305420592130325,-3.488650554711867,0.1705269028929286,-0.00310631107359084,-0.045007310415890345,-0.1963807821750012,,,
2020-01-24,17.043624158,17.399724042,16.463179756,17.061591635,232786066.8266088,2635466709.0696573,0.00307055842123,0.0030658538846304,0.0074319820584745,0.0074045009551982,0.039117314968855,-3.2411900719365256,0.2474604827753412,-0.0556461591982702,-0.05955784493494676,0.08315760329731647,,,
2020-01-25,17.049788403,17.104323748,16.570090443,16.932157973,226795061.87564644,2616971624.0325146,-0.0075862595219123,-0.0076151815548929,-0.0257360976652644,-0.0260730650835187,0.0220214585529639,-3.8157379122352624,-0.5745478402987367,-0.050690494957421534,-0.03838115617019966,0.019370978689021268,,,
2020-01-26,16.90367643,17.455955176,16.82703182,17.44065979,224994011.60525173,2670186302.243713,0.0300317193951804,0.0295895972966732,-0.0079413116648114,-0.0079730118190301,0.0171882087186051,-4.063531669868443,-0.2477937576331803,0.0034517006448504745,-0.0346916246601765,0.05079621617331487,,,
2020-01-27,17.456971751,17.840234534,17.256137273,17.665855053,253383838.39348787,2730300338.889251,0.0129120839298246,0.0128294336718587,0.1261803662492386,0.1188317000593835,0.0223473870800176,-3.801045873928441,0.2624857959400017,0.020526534221893825,0.0006530971492573201,-0.013517335213338644,,,
2020-01-28,17.655823877,18.030607994,17.488982763,18.030607994,256100016.65143728,2759510813.4756465,0.0206473414338388,0.0204370744565579,0.0107196191958043,0.0106625714029102,0.0171661229504998,-4.064817433268564,-0.2637715593401228,-0.0065589416013250934,-0.012845075289831698,0.012503103021751727,,,
2020-01-29,18.049990198,18.420144257,17.849498204,17.849498204,262160280.08584985,2815171278.151663,-0.0100445747619973,-0.0100953618792762,0.0236636588847272,0.0233880145427492,0.0211416254658032,-3.856511410966016,0.2083060223025477,0.002819757493615153,-0.01964153779271882,0.03167643571692391,,,
2020-01-30,17.895747779,18.664960729,17.715837731,18.565437081,246374688.31225872,2817001333.53778,0.0401097481182726,0.0393262346224958,-0.0602135142990456,-0.0621025723902616,0.0289906310795112,-3.540782567416548,0.3157288435494685,0.08552544651678085,0.009030417227069876,-0.11072674012501027,0.3021351156515811,,
2020-01-31,18.554831247,18.809104738,17.887232366,18.123464922,292362137.42841154,2843768690.5553994,-0.023806181188824,-0.0240941274368889,0.1866565491413943,0.1711397301550398,0.0323879933459228,-3.429967500607134,0.1108150668094136,0.0610697099240973,0.03439307447679241,0.13293905395091343,0.27952459755604514,0.014012461348919203,0.11577977711152032
2020-02-01,18.208388129,18.561788971,18.05366632,18.184499835,255519591.5772945,2838829952.942398,0.0033677287021374,0.003362070603567,-0.126016816593217,-0.1346941444650487,0.0196097191077503,-3.931729962805568,-0.501762462198434,0.07303843529168108,0.01616922784514685,-0.23260828475032858,0.3348515611362191,0.009730256870184917,-0.21060712052746045
2020-02-02,18.240988924,18.753695348,17.900569724,18.452901961,267060650.1127281,2859079867.635313,0.0147599399728004,0.0146520721782273,0.0451670201262921,0.0441767005177106,0.0321294258233472,-3.4379829764358587,0.4937469863697092,0.055482549840574595,0.023217551075244813,-0.2473702715376893,0.3038067499100477,0.011203643776028116,-0.15271867532266947
2020-02-03,18.432261945,18.778116384,18.235096184,18.476853572,274349781.7639081,2863557592.467865,0.0012979861406419,0.0012971444848575,0.0272939186214937,0.0269280814537415,0.0206949721645015,-3.877864498817301,-0.4398815223814427,0.045453096806558735,0.01137336821171786,-0.15537867988708687,0.29158547877496266,0.01074515415609767,-0.10103758175720001
2020-02-04,18.468768589,18.588387326,17.899155225,18.149094013,238112734.61079425,2835241586.8354955,-0.0177389271242962,-0.0178981476361694,-0.1320833824620924,-0.1416596316804539,0.0244136989195783,-3.712610873096212,0.1652536257210894,0.00547550109421326,-0.009749632967697153,-0.01881413656210862,0.25775833944199483,0.004900143055046158,0.07237118522736719
2020-02-05,18.167364667,19.391726788,17.987600534,19.201881514,286216094.042067,2947587512.562916,0.0580077165419883,0.0563876269274574,0.2020192641519145,0.1840028627332698,0.0404968905979273,-3.206530083176841,0.5060807899193711,0.07044513937290175,0.013017626194478993,0.09820780412880303,0.2513124571218472,0.007061068923484015,0.2224607979764468
2020-02-06,19.245173697,20.691425181,19.08365992,20.6389695,359930505.3001077,3096110834.3129807,0.074840998521537,0.0721727422880485,0.2575481001680026,0.2291638728908389,0.0371858780366396,-3.2918262124489406,-0.0852961292720997,0.10645081231551853,0.059260544947775884,0.5275520146732329,0.3182874703175172,0.016196298071495363,0.1318302710905881
2020-02-07,20.650909146,22.341206307,20.557077879,22.128407306,474415136.46014655,3355719913.3933315,0.0721662874689552,0.069681169526524,0.3180742656546498,0.2761717817270501,0.0402339853646112,-3.2130432334325656,0.0787829790163749,0.19497980745178017,0.08823648288346675,0.23106705931490978,0.42075367584601076,0.030030075296636483,0.044703284967752666
2020-02-08,22.19021225,22.19021225,20.955281203,21.824287401,444994518.83796287,3381106001.3040543,-0.013743415908543,-0.0138387309594626,-0.0620145002996866,-0.0640207888370702,0.0391482243080471,-3.2404002136902363,-0.0273569802576707,0.17935225010739084,0.08424807779373822,0.10294010780441365,0.4186137282658707,0.027814870299035732,0.008876761808324751
2020-02-09,21.793862817,24.266074161,21.793862817,24.266074161,437563419.7543316,3602622056.2237606,0.1118839169927772,0.1060557991857051,-0.016699304753318,-0.0168403101417845,0.0362327104624794,-3.317792964218788,-0.0773927505285514,0.274976753955856,0.07018499453659288,0.1710436648277942,0.47859380297790893,0.027947720566441348,-0.05937041636992402
2020-02-10,24.310340765,25.697930907,23.434458851,25.258396455,656205569.9928707,3843863473.612165,0.0408934006966337,0.040079383521718,0.4996810527746924,0.4052524540153471,0.0607068073298111,-2.8016994400908444,0.5160935241279434,0.3130775121989912,0.14132262685171426,0.238220064019818,0.5239395943737214,0.04444168757666844,0.12277899303089534
2020-02-11,25.181563713,25.707698856,24.236083387,25.707698856,632796981.0007308,3878858689.7169976,0.0177882393207531,0.0176318801055931,-0.0356726459856082,-0.0363244631623373,0.0396516347639619,-3.2276231018908814,-0.425923661800037,0.3471636791217692,0.12770551913153483,-0.23509224738501455,0.5173110538032767,0.038679326613809906,-0.012996900384845356
2020-02-12,25.683705624,26.743319623,25.375471069,26.382390797,528581487.51126754,3999017561.3620553,0.026244742665582,0.0259062589120193,-0.1646902507730877,-0.1799526657608983,0.0331652474710489,-3.40625271421883,-0.1786296123279487,0.31543646007340603,0.07103593355310167,0.036279830396380275,0.5533745212964154,0.02800728138014108,-0.013750685369761984
2020-02-13,26.38784194,27.020360278,24.784633735,25.439144111,533445753.6545028,4005141018.342428,-0.0357528888590058,-0.0364076778630332,0.009202490549069,0.0091604056266165,0.056672258570213,-2.8704704548177817,0.5357822594010484,0.20852974959184936,0.047925077271120387,0.05305993404090814,0.42547602162787757,0.02469218495694392,0.287531658407415
2020-02-14,25.45296427,26.468156509,25.084194143,26.263039174,446408417.53386855,4007409424.9319577,0.0323869018314866,0.0318735016755695,-0.1631606129102413,-0.1781231180772647,0.0326021380494725,-3.4233774084203854,-0.5529069536026037,0.1685112941278232,-0.007581715434778147,0.018318614246365605,0.3996659586903984,-0.07423388466427738,-0.10041076720016018
2020-02-15,26.296749531,26.385707264,23.898767156,24.092082127,489315052.0855129,3952688425.381033,-0.0826620648363198,-0.0862793520794206,0.0961152004898946,0.0917722929381967,0.0440261144743412,-3.122972310341257,0.3004050980791284,0.1002548360623035,0.011971688286205762,-0.052260977481402016,0.3450129528587678,0.01630145236448044,0.10928498709625534
2020-02-16,24.227366934,25.181150635,22.088715956,23.584525682,485261313.0210194,3728233775.89192,-0.0210673549228517,-0.0212924385353425,-0.0082845174028798,-0.0083190247337272,0.0911313151260606,-2.395453789259669,0.7275185210815875,-0.03031100018106544,0.012725834903584143,0.018619102081263605,0.2681148123141154,0.013247917539555232,0.10645492534342016
2020-02-17,23.422526957,23.525648315,21.742814091,23.525648315,496636578.0895096,3531817452.7184134,-0.0024964405811618,-0.0024995618847976,0.0234415247275183,0.0231709918319877,0.0556586906338439,-2.8885170475260966,-0.4930632582664271,-0.06802088443153918,-0.0432242389415336,0.044863514855394415,0.2781860962250595,0.018897128828189835,-0.011316399441317682
2020-02-18,23.42461391,24.388776878,22.891152182,24.022436125,429320687.7904249,3671330975.479548,0.0211168594951427,0.0208969885537551,-0.1355435609637119,-0.1456543637503329,0.0419846784077358,-3.170450527070222,-0.2819334795441253,-0.06686853621131932,-0.05797500525079258,0.001373790399370467,0.32363568308441343,0.01332843220926705,-0.060406457914939926
2020-02-19,24.06260071,24.205283434,22.287292338,22.287292338,349690468.1587366,3708105054.569231,-0.0722301342782735,-0.0749715664744247,-0.1854795771466764,-0.2051557771557701,0.0337417269168621,-3.389020020101743,-0.2185694930315209,-0.16888670577304404,-0.05390361527383192,-0.2763035018739839,0.2529095165151732,0.008991819483913588,0.0875803306300793
2020-02-20,22.408881627,22.638991432,21.148501353,22.088455329,337048373.5047427,3423328160.958646,-0.008921541746055,-0.0089615769949262,-0.0361522426406407,-0.0368219248939963,0.0473180177334382,-3.0508641314206018,0.3381558886811411,-0.14177712174634616,-0.06272967176990463,0.16185937953236795,0.19642538924047004,0.00537807949325142,0.04765917987219104
2020-02-21,22.093675969,22.72464183,21.819143983,22.109913969,340645292.22570163,3458738541.5444484,0.000971486673938,0.000971015086162,0.010671817471056,0.0106152755413665,0.0287488417341008,-3.549157800059876,-0.4982936686392736,-0.173419235751406,-0.03548518753434138,-0.15140968770870078,0.2168704653008488,0.004104713120813841,-0.015368209617740547
2020-02-22,22.161115693,22.200031239,21.564965057,21.936681495,338477254.4380386,3414870235.7016883,-0.007835058709088,-0.007865914056219,-0.0063645024227328,-0.0063848422159813,0.0195233781493156,-3.936142652042448,-0.3869848519825725,-0.09932266949696511,-0.052891505762982405,-0.05938441029395536,0.25238400564529956,0.009726245209520812,-0.031768079664819204
2020-02-23,21.978467564,22.913974735,21.965685876,22.795091406,347076059.76570475,3517406383.120251,0.0391312565301027,0.0383850338110303,0.0254043815793247,0.0250870534023407,0.0194692568887336,-3.93891862731492,-0.0027759752724718,-0.0271530261726345,-0.051039843632921134,-0.07258436554725556,0.2904074303005353,0.010246548453409332,-0.06035390848666844
