Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Weekend,VolChange,LogVolChange,GarmanKlass,LogGarmanKlass,Delta_LogGK,RV,Log RV,Delta_LogRV
2020-01-01,0.988600589,1.010066381,0.986008189,0.996744365,7518455.836841928,49457403.77523941,,,Wednesday,0,0,1,0,0,0,0,,,0.01626549821317219,-4.118709088528574,,,,
2020-01-02,0.996874984,0.998723753,0.974007804,0.992094016,8214858.396480117,48831481.52419849,-0.0046655382897499,-0.0046764558843891,Thursday,0,0,0,1,0,0,0,0.0926257432045658,0.0885837381192362,0.017465572643403034,-4.047523613204572,0.07118547532400132,,,
2020-01-03,0.992587547,1.026274269,0.983925105,1.010759358,12706481.958962386,49837120.96137896,0.018814085861798,0.0186392899618219,Friday,0,0,0,0,1,0,0,0.5467682272413643,0.4361677395789325,0.02758207442030033,-3.5905891947862765,0.45693441841829596,,,
2020-01-04,1.010732081,1.024488067,1.002139589,1.017086455,11227958.822111288,50084223.61188324,0.0062597461501809,0.0062402353188175,Saturday,0,0,0,0,0,1,1,-0.1163597557235924,-0.1237052626648346,0.015101486107387464,-4.192962122296184,-0.6023729275099079,,,
2020-01-05,1.016315455,1.027294467,0.983060124,0.987446255,10832372.68165105,50045078.11695039,-0.0291422620508695,-0.0295753322905605,Sunday,0,0,0,0,0,0,1,-0.0352322400471586,-0.0358678698685052,0.025452165441540046,-3.67095445349363,0.5220076688025546,,,
2020-01-06,0.988697274,1.027167756,0.98666662,1.022583368,14058133.163224611,50039903.28447077,0.0355838232431191,0.0349653481119044,Monday,1,0,0,0,0,0,0,0.2977889125840061,0.2606619799291139,0.01924756616981814,-3.9503706589783563,-0.27941620548472645,,,
2020-01-07,1.019574879,1.023037196,0.974428691,1.012318864,15324607.007299436,49489577.79766365,-0.0100378163005678,-0.0100885348664763,Tuesday,0,1,0,0,0,0,0,0.0900883374321606,0.0862587364729477,0.03413437669369423,-3.3774502883139337,0.5729203706644226,,,
2020-01-08,1.010203107,1.022491329,0.9762128,1.005463939,18863384.737016324,49187519.79050511,-0.006771507717355,-0.0067945384029295,Wednesday,0,0,1,0,0,0,0,0.2309212711315398,0.2077628899430733,0.03262026676816891,-3.4228215037672554,-0.04537121545332168,,,
2020-01-09,1.002966703,1.014263113,0.982293491,1.002105744,16556212.205971926,49191024.69596363,-0.003339945740212,-0.003345535809475,Thursday,0,0,0,1,0,0,0,-0.1223095729218175,-0.1304613362702711,0.022640569089704854,-3.788011889492008,-0.3651903857247527,,,
2020-01-10,0.99941662,1.026179401,0.976858236,1.01698375,15175916.982217692,49528144.82981008,0.0148467425609328,0.0147376085424228,Friday,0,0,0,0,1,0,0,-0.0833702302544995,-0.0870516289864572,0.033102963148201464,-3.408132479512194,0.37987940997981395,,,
