date,Actual,VaR_Benchmark,VaR_Challenger
2024-01-01,0.32536137491589834,-0.7344529783776678,-0.7727066854362652
2024-01-02,-0.02198654821315293,-0.8262844374377111,-0.8274642715734002
2024-01-03,0.19383467802076315,-0.7237416614343318,-0.7268952236990616
2024-01-04,-1.0358721752739413,-0.7592754432090365,-0.7125462567341987
2024-01-05,-0.19187574735804558,-1.2525390599259578,-1.2861681896859216
2024-01-06,0.5477409571197038,-0.9240120770142322,-0.9322728962616669
2024-01-07,0.1167860927119184,-0.9821175977112633,-1.0001993889041705
2024-01-08,-0.02449418907612971,-0.8193102941511686,-0.835495496568725
2024-01-09,0.5054758187041875,-0.7100421332391332,-0.662644784385484
2024-01-10,3.5916419665286465,-0.9166683352548097,-0.8819962939345511
2024-01-11,1.7381364902654273,-4.247457089955068,-4.369531595297991
2024-01-12,0.3194567987952283,-1.8049166666495233,-1.8193077321513924
2024-01-13,-0.010220422906809632,-1.0937845430823456,-1.045982596499201
2024-01-14,0.24348455596759372,-0.8058495326622129,-0.8277876279852675
2024-01-15,-0.0867443813815243,-0.803070170436444,-0.8243671025136374
2024-01-16,0.06865821175247394,-0.7335844373701825,-0.7196908922049396
2024-01-17,0.057988079750200185,-0.7008019648254669,-0.702205597853925
2024-01-18,0.27633296101866517,-0.6921331807705192,-0.6907269506212981
2024-01-19,0.2861439870343886,-0.7784855898291985,-0.7851652196183743
2024-01-20,0.28115733880066335,-0.810436980058742,-0.8303892456501653
2024-01-21,-0.2192037940360913,-0.8174063090306714,-0.8387825894376773
2024-01-22,1.8185094101353698,-0.777456371574691,-0.8018882849938022
2024-01-23,1.0633991902182913,-1.9194931307886587,-1.8803277656901807
2024-01-24,-0.1118281467065527,-1.32245016932376,-1.3078118521568922
2024-01-25,0.02568804201513339,-0.9041849448929302,-0.9118161341312441
2024-01-26,0.020476630396172795,-0.7436234424870412,-0.8227835298638256
2024-01-27,-0.03557046806475918,-0.6495247724126719,-0.7643052597038755
2024-01-28,0.18956599195289525,-0.6612475519727387,-0.6729044062643307
2024-01-29,0.020743011497052082,-0.7022606078486806,-0.7479971482403722
2024-01-30,0.11737882852636128,-0.669837359556864,-0.6753497411923639
2024-01-31,-0.07566842074676186,-0.6900481573637118,-0.6910317497871108
2024-02-01,0.17775457171596448,-0.6795721611689765,-0.6701875199666062
2024-02-02,-0.08146017782509055,-0.7210904892634779,-0.7357677741510682
2024-02-03,-0.37918931895932567,-0.6718323739992377,-0.7591081995923961
2024-02-04,0.03113433035696877,-0.8240056743520083,-0.8145425762237293
2024-02-05,0.014813478719973976,-0.7126800121892062,-0.7130560797855131
2024-02-06,0.2905658927219074,-0.6317088477545831,-0.675405722831709
2024-02-07,-0.06494074382524748,-0.7695195228922731,-0.7822421860027337
2024-02-08,-0.0034868469024235634,-0.6830129975434368,-0.7534326614063236
2024-02-09,-0.6380657624999682,-0.6277257071697754,-0.6617365403372544
2024-02-10,-1.3269676395553864,-0.9945606447246822,-1.0579518837837762
2024-02-11,-0.1327679544317174,-1.431536733786282,-1.341834106465026
2024-02-12,-0.06724771735386902,-0.9133440544678308,-1.0177806084818442
2024-02-13,0.21903748595554157,-0.760850631571479,-0.7078170265780594
2024-02-14,0.4591508048802617,-0.7476806010617132,-0.7727083565704082
2024-02-15,0.7062345918768688,-0.8774738311385951,-0.8980741286451068
2024-02-16,0.4359188318444549,-1.0364012719427704,-0.9887947625066739
2024-02-17,-0.1890912043559969,-0.9246790963414704,-0.9279676748183098
2024-02-18,-0.36868796323398323,-0.7946281856703376,-0.8216820475985597
2024-02-19,0.10918627733791014,-0.853169672042741,-0.8379120086275978
2024-02-20,-0.20136415569629995,-0.7306535260305149,-0.7501773134051384
2024-02-21,-1.4584041874594043,-0.7419620331015826,-0.7563746323007517
2024-02-22,-1.219509445182682,-1.5996346943949713,-1.6492286254931496
2024-02-23,0.06648583536520622,-1.3277206025826067,-1.3208144364148537
2024-02-24,0.25993843161455393,-0.8847521901737014,-0.8836070779502453
2024-02-25,0.36886840313926816,-0.8259242756161687,-0.818768509963654
2024-02-26,0.11992582438987866,-0.8439487795015777,-0.8992912819386365
2024-02-27,0.4448221560568005,-0.7363931766843353,-0.7313862173270805
2024-02-28,0.2667577920745236,-0.8708213112455578,-0.7927239073958191
2024-02-29,0.2496382627757905,-0.8095574525136404,-0.7101184612500478
2024-03-01,0.36834714453876033,-0.8029573805460939,-0.7612231860753527
2024-03-02,-0.21576619583728485,-0.8378521534945128,-0.8400853262571907
2024-03-03,0.02279730426098898,-0.7973378287729926,-0.7718102789081527
2024-03-04,0.5201958475830036,-0.67213731819096,-0.6614706123989644
2024-03-05,1.1106681472639237,-0.9096637451780294,-0.8537263748103477
2024-03-06,0.21335623467373246,-1.2979991998261964,-1.1634516534607258
2024-03-07,0.03578627814558342,-0.9125956887087686,-0.8001427693855867
2024-03-08,1.6542730745675989,-0.7186214850047088,-0.700988494608441
2024-03-09,0.559658012841911,-1.978065803028997,-1.9296296489243778
2024-03-10,-0.24174620499783758,-1.1495131536968204,-1.1362295291301527
2024-03-11,0.5071183103472421,-0.8774135654787475,-0.8745755434563945
2024-03-12,-0.04362503921815194,-0.9356763512621172,-0.8451500491813799
2024-03-13,0.21289862782874033,-0.7574278834470722,-0.7783459902032784
2024-03-14,0.0011425468858349602,-0.764043080794429,-0.7385337444888413
2024-03-15,-0.10533789574793434,-0.6771726272134277,-0.6564445678008588
2024-03-16,0.8950475542013547,-0.688997983588896,-0.7093661215879719
2024-03-17,0.056878653839629235,-1.1865188034306102,-1.1034156307418284
2024-03-18,0.07336700115791409,-0.8130058118643162,-0.7928104555213511
2024-03-19,0.03005819622231937,-0.7241555596397674,-0.7029277089418018
2024-03-20,-0.09465020560060376,-0.6415866728481522,-0.5553663946689769
2024-03-21,-0.058858274982205826,-0.6790262947723397,-0.6504815029127308
2024-03-22,-0.06169869588446537,-0.6449623165271794,-0.7139291588561117
2024-03-23,0.2372999510831689,-0.6406786949443639,-0.6783966914101655
2024-03-24,0.697731920129322,-0.7209699338341786,-0.7452031168653056
2024-03-25,0.7977046783410403,-1.0190879118185117,-1.0137495139988988
2024-03-26,-0.1389014979512941,-1.0880559091357853,-1.0698523249874168
2024-03-27,0.025031830910970165,-0.8175941649286739,-0.8367583520185883
2024-03-28,-0.27473285400050107,-0.6799105588401323,-0.7150599330563158
2024-03-29,-0.06574900465266847,-0.7644092700124848,-0.7722656464933187
2024-03-30,-0.13322367882141034,-0.6868699045270336,-0.728959931745507
2024-03-31,-0.19738744617201875,-0.6911227737607487,-0.698525831362876
2024-04-01,0.2966174054120152,-0.7249678296296094,-0.7317569040861813
2024-04-02,0.016891924998285467,-0.7764281648765091,-0.7729123418370552
2024-04-03,-0.5166101759958645,-0.6608952349902075,-0.6356968607647463
2024-04-04,-1.1821025494329427,-0.9068430566736849,-0.9382988373329904
2024-04-05,-0.41560639445800335,-1.3466969189208955,-1.3065260238937793
2024-04-06,-0.20596879779053928,-0.9807477599750173,-1.000891185255587
2024-04-07,-0.9315912931933744,-0.8139168781262052,-0.8303912186982192
2024-04-08,0.06729844668607313,-1.189264291451767,-1.1453897299153037
2024-04-09,0.07376467483430205,-0.8309609016146865,-0.8103602843221169
2024-04-10,-0.232735861839949,-0.7269976520898725,-0.7237809401181055
