date,Actual_Y,VaR_Benchmark,VaR_Challenger,Breach_Benchmark,Breach_Challenger
2024-01-01,0.2680964789980496,2.4642378877344306,2.3364904616626236,False,False
2024-01-02,1.2579281835261105,2.0870065512826423,2.017707165341468,False,False
2024-01-03,1.687242991547652,2.2866134778714167,2.2944215180115517,False,False
2024-01-04,0.498599288782655,2.543099858071176,2.546309851934957,False,False
2024-01-05,-1.4761175049445776,2.1991881649520173,2.1978514654805914,False,False
2024-01-06,-1.2785004415304644,2.4175509093167733,2.400422810375924,False,False
2024-01-07,-2.023160009876857,2.4218513047623156,2.4027712937193444,False,False
2024-01-08,2.1819576294675738,2.726964279622791,2.7076446161520296,False,False
2024-01-09,0.9312605570836426,2.8949968094335397,2.8625417889046103,False,False
2024-01-10,1.4123769834515454,2.4935090397163253,2.46681180188392,False,False
2024-01-11,1.5486355857365637,2.5068142109394826,2.5078996025454843,False,False
2024-01-12,-1.2125294824825694,2.5648306421374887,2.5604126780289196,False,False
2024-01-13,0.11318703990600236,2.4572807537144907,2.4191631050187885,False,False
2024-01-14,-4.0922431105946,2.034305093046534,2.005195731627455,False,False
2024-01-15,0.5821790962299792,3.791544447453617,3.7173169456991864,False,False
2024-01-16,0.039655010449935406,2.767161158389348,2.715698749013549,False,False
2024-01-17,0.39236299843907513,2.1735153312944937,2.1403702942974534,False,False
2024-01-18,-1.0727928960980329,1.9939255539069363,1.980279419646566,False,False
2024-01-19,0.8571776893569497,2.157604333128739,2.129245037691397,False,False
2024-01-20,-0.7487886560926077,2.153070327779566,2.16778019752266,False,False
2024-01-21,-4.462311629312639,2.1062322958700714,2.11686963518112,False,False
2024-01-22,2.7496576347382256,3.9935036532799595,3.987703352161458,False,False
2024-01-23,2.9821011895157983,3.476460831571561,3.4299651284377703,False,False
2024-01-24,-1.1304627640689358,3.4134381786529335,3.372606172509036,False,False
2024-01-25,-1.0145497994899724,2.761839584066396,2.721702735299386,False,False
2024-01-26,0.21487680872756962,2.4616784202940987,2.4619806239653803,False,False
2024-01-27,-0.5665788077004481,2.071513202238009,2.0933261486333,False,False
2024-01-28,-1.647565048379211,2.0002150938056107,2.045786390505959,False,False
2024-01-29,0.7431717801500212,2.4084188263752897,2.4675797688185575,False,False
2024-01-30,1.3361407352360881,2.2237852266505165,2.273100253996165,False,False
2024-01-31,0.49164245406490936,2.366366585379909,2.398502125522952,False,False
2024-02-01,-0.16877752403407087,2.1191274810679106,2.146650677078919,False,False
2024-02-02,-1.3245062765156839,1.8865146997700106,1.9169638305665617,False,False
