date,Actual_Y,VaR_Benchmark,VaR_Challenger,Breach_Benchmark,Breach_Challenger
2024-01-01,0.3406005810424759,1.2967283999381982,1.1230494142291803,False,False
2024-01-02,0.025432898442305833,1.1489151345927413,1.1444156823133769,False,False
2024-01-03,1.4038560833749152,1.326739669613779,1.120854131505361,True,True
2024-01-04,-0.2039798809222558,1.311447324963213,1.256467385021295,False,False
2024-01-05,-0.1547310826366795,1.191300040348361,1.1753014367513772,False,False
2024-01-06,-0.4989856251667633,1.341409041006919,1.3326728569629134,False,False
2024-01-07,-0.29333763559079945,1.1709418381481849,1.1581525800784291,False,False
2024-01-08,1.618047025085763,33065167348.77435,1.1472830125306488,False,True
2024-01-09,0.09157973306751764,1.2949121111386606,1.2873567522113851,False,False
2024-01-10,0.03329132896490961,1.2042555782867401,1.190705464728529,False,False
2024-01-11,-0.10623667199969294,1.3691273665066128,1.153297500687844,False,False
2024-01-12,1.643341626815944,1.1344906052995454,1.139794785208721,True,True
2024-01-13,0.037132097501532235,1.3606659452468814,6.0463750977143874e+153,False,False
2024-01-14,-0.22026270732559333,1.3776856355456382,1.1958834599194614,False,False
2024-01-15,0.5514208845002764,1.1675241993261338,1.1771128244001663,False,False
2024-01-16,0.00047886652550994615,1.1894399826653237,1.2001037675634494,False,False
2024-01-17,-0.004574164597502688,1.146722522791598,1.1556216407406745,False,False
2024-01-18,0.10910243692825297,1.1238694661009239,1.135436190767626,False,False
2024-01-19,-0.28495692925242816,1.12158733170699,1.1346606776044332,False,False
2024-01-20,-0.24845634289287738,1.1340382628322336,1.4787803203475915,False,False
2024-01-21,-0.22107358094957122,1.135869103717167,1.1532589705461278,False,False
2024-01-22,1.3675948098086361,1.1331989544434868,1.1486970325677732,True,True
2024-01-23,0.045314458868830156,1.2564068055877724,1.2760199740496354,False,False
2024-01-24,-0.2799498358339365,1.1816192109501675,1.1954242918534537,False,False
2024-01-25,-2.090644429806014,1.1639212073401135,1.1796360118664382,False,False
2024-01-26,-1.3350988812881277,1.337070564711712,1.3581615899159982,False,False
2024-01-27,-0.030877532877150022,1.3969209014026762,1.3474741405921673,False,False
2024-01-28,-0.3806887273573897,1.2130788655324443,1.2215541394947644,False,False
2024-01-29,0.32827907588570926,1.4177660954672975,1.4411655665942322,False,False
2024-01-30,0.21094357706806946,1.1742476115239049,1.1870747260352676,False,False
2024-01-31,-0.24663779389597537,1.4320771178015888,1.1687741336200395,False,False
2024-02-01,-0.04666956761980528,1.4399101681291497,1.1628365698399308,False,False
2024-02-02,-1.7942824597133988,1.4520063185637775,1.1405888989757107,False,False
2024-02-03,-0.42190533699093535,1.285161783232789,1.3106195691785385,False,False
2024-02-04,0.018702592683989713,1.2226329768832336,2058664.7748291162,False,False
2024-02-05,-0.26819973589428414,1.1597743503867328,1.1728990101374226,False,False
2024-02-06,-0.01948902066156238,1.1481312334697948,1.1648452060042966,False,False
2024-02-07,-1.309368000316325,1.4556350828377818,1.1373028089645767,False,False
2024-02-08,0.3434245978194569,1.22984286946079,5.8168748618617605e+26,False,False
2024-02-09,-2.202898233458654,1.4405483191653654,1718.625843085956,False,False
2024-02-10,-0.050049529004167134,1.3519675158566853,26.49523949053023,False,False
2024-02-11,-3.1328196010048233,1.217447891036535,1.2071100070725367,False,False
2024-02-12,1.316691961801631,1.4580991854499668,1.4540828454309624,False,False
2024-02-13,-0.6191235438119124,1.3836423574383352,1.3657882091319726,False,False
2024-02-14,0.056256286305128196,1.3310423710717687,1.2627245130965743,False,False
2024-02-15,1.4635569559648425,1.1897501979457212,1.173981660435814,True,True
2024-02-16,-0.20626151982153504,1.3293856194125646,1.3033760400927914,False,False
2024-02-17,-0.47141680967615235,1.2038813810103586,1.1959045376504256,False,False
2024-02-18,0.22080073484833143,-3052.6980640530874,1.1827357116953539,True,False
2024-02-19,0.07924171737349776,1.162207690001059,1.1554495672868685,False,False
2024-02-20,0.15267602850605352,1.374044993863274,1.35985054353702,False,False
2024-02-21,-1.5129951276177618,1.1275861110170293,1.124032063786619,False,False
2024-02-22,-0.43982867910097195,1.3619726771254725,1.2457464510998344,False,False
2024-02-23,0.13380778881055327,1.2071430002314962,1.1854213685021355,False,False
2024-02-24,0.3571088600847003,1.3799468880083219,1.1404616296012806,False,False
2024-02-25,-1.116689842789808,1.159405896803937,1.14282231450064,False,False
2024-02-26,1.4778673941963394,1.3739414652248054,1.210723282142434,True,True
2024-02-27,1.653790401559147,1.3010561453542118,1.2856474000953142,True,True
