N,Exceptions,Exception_Rate,LR_POF_stat,p_value_POF,Model,Expected_Rate
367,25,0.0681198910081744,2.2899659609614957,0.13021277872170334,Benchmark GARCH,0.05
367,25,0.0681198910081744,2.2899659609614957,0.13021277872170334,GARCH-X MA(1),0.05
