N,Exceptions,Exception_Rate,LR_POF_stat,p_value_POF,Model,Expected_Rate
367,28,0.07629427792915532,4.633789815484903,0.031348245713766376,Benchmark GARCH,0.05
367,31,0.08446866485013624,7.6748044900791115,0.005599716015494249,GARCH-X MA(7),0.05
