date,Actual_Y,VaR_Benchmark,VaR_Challenger,Breach_Benchmark,Breach_Challenger
2024-01-01,0.32536137491589834,0.7207093165982212,0.7129778408754438,False,False
2024-01-02,-0.02198654821315293,0.7921889674630107,0.7980200264584261,False,False
2024-01-03,0.19383467802076315,0.679188786222338,0.681611532510766,False,False
2024-01-04,-1.0358721752739413,0.7137604577572244,0.7595461817122652,False,False
2024-01-05,-0.19187574735804558,1.1812806668458218,1.1980441917143472,False,False
2024-01-06,0.5477409571197038,0.86732254653061,0.8630182770315925,False,False
2024-01-07,0.1167860927119184,0.9254683664473509,0.9067876360036456,False,False
2024-01-08,-0.02449418907612971,0.7691830743864874,0.7621433021559878,False,False
2024-01-09,0.5054758187041875,0.6813844132850634,0.7217871200314734,False,False
2024-01-10,3.5916419665286465,0.8669081217007303,0.8364255952716106,True,True
2024-01-11,1.7381364902654273,4.112174258477543,4.186523239372281,False,False
2024-01-12,0.3194567987952283,1.744140957343543,1.7251267312074723,False,False
2024-01-13,-0.010220422906809632,1.0542045708230374,1.0964894816755772,False,False
2024-01-14,0.24348455596759372,0.7758241247477947,0.7815779890897941,False,False
2024-01-15,-0.0867443813815243,0.7731532210309866,0.7612445413748606,False,False
2024-01-16,0.06865821175247394,0.7062076996303507,0.7118754677998281,False,False
2024-01-17,0.057988079750200185,0.6742500991528684,0.6586011114145793,False,False
2024-01-18,0.27633296101866517,0.6531023073299775,0.6470637946580212,False,False
2024-01-19,0.2861439870343886,0.7493868550014281,0.7454364316176719,False,False
2024-01-20,0.28115733880066335,0.7827658400888673,0.7630947246332955,False,False
2024-01-21,-0.2192037940360913,0.7904517490615895,0.778305351940214,False,False
2024-01-22,1.8185094101353698,0.7652489323868633,0.7448303258125577,True,True
2024-01-23,1.0633991902182913,1.8621460907433962,1.8941781285553518,False,False
2024-01-24,-0.1118281467065527,1.2822780539423628,1.2536331213227665,False,False
2024-01-25,0.02568804201513339,0.8777526534886718,0.8508675747214245,False,False
2024-01-26,0.020476630396172795,0.7216408094466013,0.6446974585764146,False,False
2024-01-27,-0.03557046806475918,0.6462585677073395,0.6396753276715923,False,False
2024-01-28,0.18956599195289525,0.6432955148265864,0.6379066669157739,False,False
2024-01-29,0.020743011497052082,0.697992777294775,0.6875971005014831,False,False
2024-01-30,0.11737882852636128,0.6533928912131741,0.6649842403131853,False,False
2024-01-31,-0.07566842074676186,0.6736671118110967,0.6732492237856557,False,False
2024-02-01,0.17775457171596448,0.6642169325978677,0.6441862623879576,False,False
2024-02-02,-0.08146017782509055,0.7041883951317435,0.7007242187246684,False,False
2024-02-03,-0.37918931895932567,0.6708581206124381,0.6100017000055007,False,False
2024-02-04,0.03113433035696877,0.8194775682196317,0.7511711858810157,False,False
2024-02-05,0.014813478719973976,0.6953477876428701,0.6818672140014469,False,False
2024-02-06,0.2905658927219074,0.6306484995057398,0.6267758556149289,False,False
2024-02-07,-0.06494074382524748,0.7512668805319792,0.7484303941101499,False,False
2024-02-08,-0.0034868469024235634,0.6818547725655392,0.6363075115286783,False,False
2024-02-09,-0.6380657624999682,0.6277290676651512,0.6569152217436759,False,False
2024-02-10,-1.3269676395553864,0.9854042775276013,0.8662169373572667,False,False
2024-02-11,-0.1327679544317174,1.4111243142137815,1.2787965583823429,False,False
2024-02-12,-0.06724771735386902,0.9045022515490145,0.7619482914018231,False,False
2024-02-13,0.21903748595554157,0.7402508033937967,0.7592154150725433,False,False
2024-02-14,0.4591508048802617,0.7425373214482609,0.6931628982151893,False,False
2024-02-15,0.7062345918768688,0.871241323627449,0.8608363803929415,False,False
2024-02-16,0.4359188318444549,1.0274996588429914,1.043770388360206,False,False
2024-02-17,-0.1890912043559969,0.9176653952797433,0.8738143200875365,False,False
2024-02-18,-0.36868796323398323,0.790811663278297,0.754155971816014,False,False
2024-02-19,0.10918627733791014,0.8327192699146754,0.8157676712245963,False,False
2024-02-20,-0.20136415569629995,0.7276096317313995,0.7202681360399034,False,False
2024-02-21,-1.4584041874594043,0.7382246750434068,0.7310597015414662,False,False
2024-02-22,-1.219509445182682,1.5516361512955679,1.4732114680892823,False,False
2024-02-23,0.06648583536520622,1.2886784140243248,1.2307492878670916,False,False
2024-02-24,0.25993843161455393,0.8578725637253601,0.84815193274682,False,False
2024-02-25,0.36886840313926816,0.8010095621898203,0.801217745796048,False,False
2024-02-26,0.11992582438987866,0.835307190711986,0.7785739850380389,False,False
2024-02-27,0.4448221560568005,0.7300069636626039,0.7933063118492403,False,False
