date,Actual_Y,VaR_Benchmark,VaR_Challenger,Breach_Benchmark,Breach_Challenger
2024-01-01,0.3406005810424759,1.2967283999381982,1.127436646036914,False,False
2024-01-02,0.025432898442305833,1.1489151345927413,1.1436896899086295,False,False
2024-01-03,1.4038560833749152,1.326739669613779,1.1237996061992575,True,True
2024-01-04,-0.2039798809222558,1.311447324963213,1.2608800658526274,False,False
2024-01-05,-0.1547310826366795,1.191300040348361,1.1938531206708258,False,False
2024-01-06,-0.4989856251667633,1.341409041006919,1.15608868435741,False,False
2024-01-07,-0.29333763559079945,1.1709418381481849,1.17033066389162,False,False
2024-01-08,1.618047025085763,33065167348.77435,146.75916119623193,False,False
2024-01-09,0.09157973306751764,1.2949121111386606,1.3091231569617086,False,False
2024-01-10,0.03329132896490961,1.2042555782867401,1.21314218691212,False,False
2024-01-11,-0.10623667199969294,1.3691273665066128,1.3707486072224455,False,False
2024-01-12,1.643341626815944,1.1344906052995454,1.1621077904609431,True,True
2024-01-13,0.037132097501532235,1.3606659452468814,1.3106331750787568,False,False
2024-01-14,-0.22026270732559333,1.3776856355456382,1.4260608544875413,False,False
2024-01-15,0.5514208845002764,1.1675241993261338,1.1890831355982991,False,False
2024-01-16,0.00047886652550994615,1.1894399826653237,2488574948089.1313,False,False
2024-01-17,-0.004574164597502688,1.146722522791598,1.13108080310445,False,False
2024-01-18,0.10910243692825297,1.1238694661009239,1.0967398391967953,False,False
2024-01-19,-0.28495692925242816,1.12158733170699,1.0596578867902136,False,False
2024-01-20,-0.24845634289287738,1.1340382628322336,1.3858304030615864,False,False
2024-01-21,-0.22107358094957122,1.135869103717167,1.0781937503883852,False,False
2024-01-22,1.3675948098086361,1.1331989544434868,1.0662898475505,True,True
2024-01-23,0.045314458868830156,1.2564068055877724,1.2299046049962472,False,False
2024-01-24,-0.2799498358339365,1.1816192109501675,1.2015990903136002,False,False
2024-01-25,-2.090644429806014,1.1639212073401135,5.277950348226976e+36,False,False
2024-01-26,-1.3350988812881277,1.337070564711712,1.3237247961142322,False,False
2024-01-27,-0.030877532877150022,1.3969209014026762,1.3069729344516012,False,False
2024-01-28,-0.3806887273573897,1.2130788655324443,72.19909181668862,False,False
2024-01-29,0.32827907588570926,1.4177660954672975,1.21265512242551,False,False
2024-01-30,0.21094357706806946,1.1742476115239049,1.1690757806160248,False,False
2024-01-31,-0.24663779389597537,1.4320771178015888,-129.63147153386222,False,True
2024-02-01,-0.04666956761980528,1.4399101681291497,-4077.0272310606947,False,True
2024-02-02,-1.7942824597133988,1.4520063185637775,1.1355534601136434,False,False
2024-02-03,-0.42190533699093535,1.285161783232789,1.2701847841967595,False,False
2024-02-04,0.018702592683989713,1.2226329768832336,2.9577177746549968e+38,False,False
2024-02-05,-0.26819973589428414,1.1597743503867328,1.1414130955655268,False,False
2024-02-06,-0.01948902066156238,1.1481312334697948,6.89482429174682e+23,False,False
2024-02-07,-1.309368000316325,1.4556350828377818,1.1064736740608296,False,False
2024-02-08,0.3434245978194569,1.22984286946079,12356084678.331554,False,False
2024-02-09,-2.202898233458654,1.4405483191653654,6.626241300189305e+153,False,False
2024-02-10,-0.050049529004167134,1.3519675158566853,1.3659474797110116,False,False
2024-02-11,-3.1328196010048233,1.217447891036535,2.5002866235246177,False,False
2024-02-12,1.316691961801631,1.4580991854499668,1.4914556284101705,False,False
2024-02-13,-0.6191235438119124,1.3836423574383352,1.4027245640106958,False,False
2024-02-14,0.056256286305128196,1.3310423710717687,1.3158923239420894,False,False
2024-02-15,1.4635569559648425,1.1897501979457212,1.2115405786011713,True,True
2024-02-16,-0.20626151982153504,1.3293856194125646,1.2900336753859012,False,False
2024-02-17,-0.47141680967615235,1.2038813810103586,1.357940377327355,False,False
2024-02-18,0.22080073484833143,-3052.6980640530874,1.191921107917136,True,False
2024-02-19,0.07924171737349776,1.162207690001059,1.1574381643475704,False,False
2024-02-20,0.15267602850605352,1.374044993863274,1.3595685652033902,False,False
2024-02-21,-1.5129951276177618,1.1275861110170293,1.1342866514420125,False,False
2024-02-22,-0.43982867910097195,1.3619726771254725,1.2733775716902902,False,False
2024-02-23,0.13380778881055327,1.2071430002314962,1.2256724234837097,False,False
2024-02-24,0.3571088600847003,1.3799468880083219,1.1555450023249085,False,False
2024-02-25,-1.116689842789808,1.159405896803937,1.161643136658706,False,False
2024-02-26,1.4778673941963394,1.3739414652248054,1.2303874505247652,True,True
2024-02-27,1.653790401559147,1.3010561453542118,1.3120116228805927,True,True
2024-02-28,2.640956263780648,1.3322477148771485,6.0463750977143874e+153,True,False
2024-02-29,-0.010684413052531757,1.4765719006693985,1.4935845149197708,False,False
2024-03-01,0.12126131534590005,1.3034188617641782,1.3296239457333516,False,False
2024-03-02,0.7650986031321114,1.1962711252563085,1.232533687294561,False,False
2024-03-03,0.2521246112734985,1.320142869682701,1.273606572257628,False,False
2024-03-04,1.5012302318800295,1.185702797659474,1.236642502146371,True,True
2024-03-05,1.998216027190094,1.2947159160715151,1.3400991582163997,True,True
2024-03-06,2.2830239129061463,1.283056544491598,1.40996511854055,True,True
2024-03-07,1.0992387448504586,1.463451017067121,1.514212912717204,False,False
2024-03-08,-0.12451616645814681,1.3791282492538195,1.251810024372788,False,False
2024-03-09,-0.17406278385642654,1.2605964675338124,1.2567813596511779,False,False
2024-03-10,0.24951134591241295,1.1923609413806129,1.2175093611188335,False,False
2024-03-11,2.3386215889368165,1.2922709740402492,1.1854176537489622,True,True
2024-03-12,0.2364473229359323,7.361605255419727,1.2835322820563482,False,False
2024-03-13,0.9177261323851281,1.2481716174273554,1.269259313853376,False,False
2024-03-14,0.40546113009129486,1.2818786328741911,1.2293872068691316,False,False
2024-03-15,-0.19823956012605737,1.2800310229305303,1.2551074880660384,False,False
2024-03-16,1.3530684579337642,1.194089201037848,1.2470166698747647,True,True
2024-03-17,0.530230237466407,1.297265150141055,1.335293218175673,False,False
2024-03-18,0.3302976716704099,1.2923758632077194,1.3217127458969966,False,False
2024-03-19,2.9682502250863116,1.2219119768834399,1.2903329884121577,True,True
2024-03-20,2.1648204646144587,1.246489244116984,1.4842281660238341,True,True
2024-03-21,0.10590197141767613,3363613897400881.0,1.4992506613500607,False,False
2024-03-22,0.1648598350773554,1.308121599668735,1.3035563685618905,False,False
2024-03-23,0.00805140863568801,1.253438608370851,1.168971113712957,False,False
2024-03-24,0.23747171611400344,1.1799450333761545,1.2213718321671378,False,False
2024-03-25,0.1919581046398065,1.2923873757421962,1.1217013361019277,False,False
2024-03-26,-0.1320379383220005,1.1740770154186961,1.1659079670665073,False,False
2024-03-27,-0.17269682459221458,1.3263450343978984,1.1279327303684725,False,False
2024-03-28,-0.25871301328017055,1.3420967799283015,1.1270032339167193,False,False
