date,mu,var,VaR_95,actual
2024-01-01,-0.026431646368026314,6.7605850973728545,-1.2082082472072124,0.3406005810424759
2024-01-02,-0.02380679825904785,6.984428872548032,-1.2251033181059268,0.025432898442305833
2024-01-03,-0.02285386029549857,6.695084129980369,-1.1990561357879115,1.4038560833749152
2024-01-04,-0.02184902373299688,8.349311649445418,-1.334391118428255,-0.2039798809222558
2024-01-05,-0.030635867813181988,7.427554050425068,-1.2683936848199788,-0.1547310826366795
2024-01-06,-0.013371444412787804,9.041158959397595,-1.364625266727609,-0.4989856251667633
2024-01-07,-0.0290292317978813,7.197613052366501,-1.247426946748137,-0.29333763559079945
2024-01-08,-0.027105121220563196,7.041150231917682,-1.2320298050432374,1.618047025085763
2024-01-09,-0.025880244096508468,8.789073374508417,-1.371070687905768,0.09157973306751764
2024-01-10,-0.02457669826823696,7.52733557784686,-1.2695091984585858,0.03329132896490961
2024-01-11,-0.014527633190497208,6.951372235049493,-1.2109165828611712,-0.10623667199969294
2024-01-12,-0.009662242656527029,6.732196108144671,-1.1868720201869896,1.643341626815944
2024-01-13,-5.737371736355478,1.7976931348622732e+308,-2.817631688061746e+153,0.037132097501532235
2024-01-14,33.601048330199234,2448.91861525369,-3.348792632699954,-0.22026270732559333
2024-01-15,-0.0022545166759219484,7.07081633318597,-1.2075062695522372,0.5514208845002764
2024-01-16,-0.001253241391003565,7.334020334058923,-1.228518478083254,0.00047886652550994615
2024-01-17,-0.0014101595550249368,6.802120726609552,-1.1832816280987362,-0.004574164597502688
2024-01-18,-0.0006288036169714607,6.557410630155107,-1.1610139480113795,0.10910243692825297
2024-01-19,-0.0005477623605145455,6.549665477167835,-1.1604128129318774,-0.28495692925242816
2024-01-20,0.01952513764994622,10.589700750949508,-1.440414072688864,-0.24845634289287738
2024-01-21,-0.0012210199107298252,6.772755820497463,-1.1805847195537549,-0.22107358094957122
2024-01-22,-0.003544538509442769,6.745968684276499,-1.1805318154392646,1.3675948098086361
2024-01-23,0.003019671708414627,8.214443834732341,-1.2944072461122629,0.045314458868830156
2024-01-24,0.0056414816956619485,7.176338275890742,-1.2070932390108453,-0.2799498358339365
2024-01-25,0.003546178003530468,7.012356207463796,-1.1952716348415517,-2.090644429806014
2024-01-26,0.002014829818396846,9.343640605424826,-1.3830938741837067,-1.3350988812881277
2024-01-27,0.002140764624546647,9.201390755651948,-1.3727855740532433,-0.030877532877150022
2024-01-28,0.001847960705082325,7.56248943505506,-1.2445822510729534,-0.3806887273573897
2024-01-29,0.023903638676967497,9.988569804439146,-1.3939635204894731,0.32827907588570926
2024-01-30,0.002131152684594906,7.138570798954371,-1.208935463925889,0.21094357706806946
2024-01-31,0.002189123311105868,6.921509345448717,-1.1905045866988102,-0.24663779389597537
2024-02-01,0.0007165472018481785,6.866725277738785,-1.1871046173476125,-0.04666956761980528
2024-02-02,0.0011475847681376924,6.60072089005883,-1.163392355090853,-1.7942824597133988
2024-02-03,-0.0007046119003245449,8.755406457144336,-1.3427833155076032,-0.42190533699093535
2024-02-04,-34.690946969509696,0.0,-34.690946969509696,0.018702592683989713
2024-02-05,0.0030989270154980902,0.6380995441964307,-1.2646284461004362,-0.26819973589428414
2024-02-06,-0.0009300293457876335,6.918166624185734,-1.193803580704781,-0.01948902066156238
2024-02-07,-0.0006093525626408268,6.591499614433622,-1.1649856135390166,-1.309368000316325
2024-02-08,-22.543267446368823,1.6638142132767767e+54,-2.710683785143773e+26,0.3434245978194569
2024-02-09,1718.625843085956,0.0,1718.625843085956,-2.202898233458654
2024-02-10,2.9654921455510332,237.29599129583278,-20.57560173235248,-0.050049529004167134
2024-02-11,-0.023420315133141495,7.736886404472948,-1.286917392448805,-3.1328196010048233
2024-02-12,-0.02635433677540897,11.22802900012535,-1.5501324590645773,1.316691961801631
2024-02-13,-0.02521772726578378,9.89684686590697,-1.454875847595225,-0.6191235438119124
2024-02-14,-0.02593788204541992,8.49666163954153,-1.3507764135239178,0.056256286305128196
2024-02-15,-0.02450313251741341,7.350141575092348,-1.2567906495777252,1.4635569559648425
2024-02-16,-0.0023219310031673823,8.510626249611954,-1.3135818950662888,-0.20626151982153504
2024-02-17,-0.02042859914398533,7.552889553337719,-1.268356409114819,-0.47141680967615235
2024-02-18,-0.022036615361841545,7.409677098734677,-1.25805399307899,0.22080073484833143
2024-02-19,-0.023657723545732978,7.100307599566882,-1.2338110472880695,0.07924171737349776
2024-02-20,-0.00533777100069168,9.303040687372652,-1.3762285299620869,0.15267602850605352
2024-02-21,-0.023933454727174876,6.733788336768765,-1.2027043215666373,-1.5129951276177618
2024-02-22,-0.034041783579193574,8.387297464852926,-1.3508027734256574,-0.43982867910097195
2024-02-23,-0.04026984610996426,7.6920644943631205,-1.3011977180146197,0.13380778881055327
