Source,Target,Baseline_RMSE,Full_RMSE,Improvement_Pct,Source_Coeff,Source_P_Value
Crypto_Volatility,Stable_Volume,1.7713944585868149,1.3283786241370694,25.00944000937968,0.5748709086653293,N/A (OOS)
Stable_Volume,Crypto_Volatility,1.6642280473498385,1.6205873692721544,2.6222775266393756,-0.13892572613867424,N/A (OOS)
Crypto_Volume,Stable_Volume,1.7713944585868149,1.7449174177462385,1.4947004441743157,0.14312210992140847,N/A (OOS)
Crypto_Returns,Stable_Returns,0.3654493818882646,0.36066693007861994,1.308649582312572,-0.04875228925771622,N/A (OOS)
Crypto_Returns,Stable_Volume,1.7713944585868149,1.7548942303049326,0.9314824375732673,-0.10122947802438136,N/A (OOS)
Stable_Volume,Crypto_Volume,1.903109740848443,1.895800303930212,0.3840785826135413,-0.040118211572105614,N/A (OOS)
Stable_Returns,Crypto_Volatility,1.6642280473498385,1.6596369303056653,0.27587066877548855,-0.12237847593729428,N/A (OOS)
Stable_Volatility,Crypto_Returns,1.3713055431608694,1.3688102983580606,0.1819612569389364,0.022108899539811034,N/A (OOS)
Crypto_Volatility,Stable_Volatility,0.8956625676435145,0.8951642753363523,0.05563393237177991,0.06921395223371996,N/A (OOS)
Crypto_Volatility,Stable_Returns,0.3654493818882646,0.36526952984922567,0.049213939864839754,0.01151050752379767,N/A (OOS)
Stable_Volume,Crypto_Returns,1.3713055431608694,1.3706749628874804,0.045983936733423623,0.03556597352445781,N/A (OOS)
Stable_Returns,Crypto_Volume,1.903109740848443,1.903009531750315,0.0052655449119417205,-0.024721933399841883,N/A (OOS)
Crypto_Volume,Stable_Returns,0.3654493818882646,0.3654833857994964,-0.009304684292013256,0.010752854451283985,N/A (OOS)
Stable_Volatility,Crypto_Volatility,1.6642280473498385,1.6648617131810863,-0.03807566110046425,-0.07696009229747922,N/A (OOS)
Crypto_Returns,Stable_Volatility,0.8956625676435145,0.8961937113272089,-0.05930176194500162,-0.02232810847124554,N/A (OOS)
Stable_Volatility,Crypto_Volume,1.903109740848443,1.904692692240844,-0.08317709475310367,-0.03914997635443972,N/A (OOS)
Stable_Returns,Crypto_Returns,1.3713055431608694,1.3728881950437068,-0.11541205318760953,0.2056563682370155,N/A (OOS)
Crypto_Volume,Stable_Volatility,0.8956625676435145,0.8987666331778154,-0.3465664019506428,0.03168349266578161,N/A (OOS)
