Strategy,Vol_Target,Ann_Return,Ann_Vol,Sortino,MaxDD
BuyHold,N/A,0.8898988101411073,0.514054924986392,2.4715851932561326,-0.3303854486871465
Benchmark,0.2,0.40821233932397305,0.24294817188008064,1.964787933481994,-0.15759021675720286
Challenger,0.2,0.4662962751874043,0.22294767972012292,2.7746535968109822,-0.12874589966336536
Naive,0.2,0.1662683169473878,0.1968508179574523,1.097865825661592,-0.1861177867414351
Benchmark,0.3,0.696713090583906,0.33543104884064895,2.831376473540598,-0.19782369117826382
Challenger,0.3,0.6978769690280282,0.3192269111240858,3.0744088518668593,-0.1886649639388761
Naive,0.3,0.30317449775743166,0.2804420401522279,1.4970687689725264,-0.25131901768699805
Benchmark,0.4,0.8498323277492015,0.40827073335489816,2.9661012113482115,-0.23523305547973006
Challenger,0.4,0.8962598417896838,0.3936865649203295,3.3574127108037524,-0.22351369465629667
Naive,0.4,0.4224596859256733,0.34439808283810364,1.7483961751929677,-0.28834572866911945
Benchmark,0.5,0.9576983272476374,0.4607322871715042,3.0367859498065592,-0.2690636467295353
Challenger,0.5,1.0035134885452592,0.44685707585790957,3.3805411927069042,-0.24127289013748576
Naive,0.5,0.5397424065492595,0.38877320471186666,1.9967753301087006,-0.30176037400279254
