Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,VolChange,LogVolChange,GarmanKlass,Delta_LogGK,RS,Upside_Vol,Downside_Vol,Upside_Vol_Weekly,Downside_Vol_Weekly,RS_Weekly,Log Returns_Weekly,LogVolChange_Weekly,Delta_LogGK_Weekly,Upside_Vol_Monthly,Downside_Vol_Monthly,RS_Monthly,Log Returns_Monthly,LogVolChange_Monthly,Delta_LogGK_Monthly
2020-01-01,0.988600589,1.010066381,0.986008189,0.996744365,7518455.836841928,49457403.77523941,,,,,0.0162654982131721,,,,,,,,,,,,,,,,
2020-01-02,0.996874984,0.998723753,0.974007804,0.992094016,8214858.396480117,48831481.52419849,-0.0046655382897499,-0.0046764558843891,0.0926257432045658,0.0885837381192362,0.017465572643403,0.0711854753240039,0.0032496173839572,-0.0133750170830202,0.0153304325281127,,,,,,,,,,,,
2020-01-03,0.992587547,1.026274269,0.983925105,1.010759358,12706481.958962386,49837120.96137896,0.018814085861798,0.0186392899618219,0.5467682272413643,0.4361677395789325,0.0275820744203003,0.4569344184182919,0.0063217230261884,0.0190349758078636,-0.00530539183666,,,,,,,,,,,,
2020-01-04,1.010732081,1.024488067,1.002139589,1.017086455,11227958.822111288,50084223.61188324,0.0062597461501809,0.0062402353188175,-0.1163597557235924,-0.1237052626648346,0.0151014861073874,-0.6023729275099066,-0.0123006362331902,-0.0126474429325116,-0.0041149017014074,,,,,,,,,,,,
2020-01-05,1.016315455,1.027294467,0.983060124,0.987446255,10832372.68165105,50045078.11695039,-0.0291422620508695,-0.0295753322905605,-0.0352322400471586,-0.0358678698685052,0.02545216544154,0.522007668802555,0.008960860041993,0.0107171380930858,0.0009271948859694,,,,,,,,,,,,
2020-01-06,0.988697274,1.027167756,0.98666662,1.022583368,14058133.163224611,50039903.28447077,0.0355838232431191,0.0349653481119044,0.2977889125840061,0.2606619799291139,0.0192475661698182,-0.2794162054847215,-0.0083125250887741,-0.0075504671649609,-0.0035959492582445,,,,,,,,,,,,
2020-01-07,1.019574879,1.023037196,0.974428691,1.012318864,15324607.007299436,49489577.79766365,-0.0100378163005678,-0.0100885348664763,0.0900883374321606,0.0862587364729477,0.0341343766936941,0.5729203706644164,0.0263639325926278,-0.0070917338541174,0.0329915818042607,,,,,,,,,,,,
2020-01-08,1.010203107,1.022491329,0.9762128,1.005463939,18863384.737016324,49187519.79050511,-0.006771507717355,-0.0067945384029295,0.2309212711315398,0.2077628899430733,0.0326202667681689,-0.0453712154533199,-0.0071571518209308,0.0082738318375338,-0.0097774084060133,0.001664855899039662,0.0032064361668018224,0.0034647801790159485,0.00871001194818838,0.13279822966200952,0.07294350985092946,,,,,,
2020-01-09,1.002966703,1.014263113,0.982293491,1.002105744,16556212.205971926,49191024.69596363,-0.003339945740212,-0.003345535809475,-0.1223095729218175,-0.1304613362702711,0.0226405690897048,-0.3651903857247558,-0.0113632021337601,-0.002627718035436,-0.0113945423726919,0.0038001617182245387,-0.004418472588028133,-0.00017405879306486155,0.010040932023102543,0.0874927436924468,-0.010787685528781843,,,,,,
2020-01-10,0.99941662,1.026179401,0.976858236,1.01698375,15175916.982217692,49528144.82981008,0.0148467425609328,0.0147376085424228,-0.0833702302544995,-0.0870516289864572,0.0331029631482014,0.3798794099798153,0.010540780107076,0.0038016462649119,0.0099219037045268,-0.016405032615021846,0.01680152932057555,0.004545503953458249,0.0061392506037032755,0.024498648498661693,0.007476546041051968,,,,,,
2020-01-11,1.016797246,1.026861631,0.976715981,0.982146801,17534880.63415284,49790770.10252419,-0.034255167793979,-0.0348556285181235,0.15544125964179,0.1444823139938243,0.0280881056398449,-0.1642765995796606,-0.008293324085384,0.0055175885152043,-0.0153822907713192,0.009170473702834176,-0.021319733543414016,-0.013016082807090577,-0.03495661323323795,0.059974231512695084,-0.19027534805638346,,,,,,
2020-01-12,0.984802065,1.028319364,0.978996586,1.013082902,15402895.596365688,49963003.30125549,0.0314984490796097,0.0310125499697354,-0.121585375017305,-0.1296365587950101,0.0299724517117358,0.06493248362246,0.0033977433935238,0.0044655747127272,-0.0007079353856198,0.002243739378497412,0.005558297855430657,0.005394679522169956,0.025631269027058097,0.041319184568450865,0.12810609968023234,,,,,,
2020-01-13,1.021430533,1.021430533,0.973379614,0.989398246,13770483.329751477,48917766.64107246,-0.0233787935352994,-0.0236564130043221,-0.1059808694022037,-0.1120281051586089,0.0277260965326741,-0.0779046007365225,-0.0010727424239887,-0.0254063109130436,0.0138196857817936,-0.006066458569633549,0.0037301454112080093,-0.0009823346875443978,-0.032990492089168565,-0.0025507170706335898,-0.025569351388597283,,,,,,
