Date,Open,High,Low,Close,Volume,Market Cap,Returns,Log Returns,VolChange,LogVolChange,GarmanKlass,Delta_LogGK,RS,Upside_Vol,Downside_Vol,Upside_Vol_Weekly,Downside_Vol_Weekly,RS_Weekly,Log Returns_Weekly,LogVolChange_Weekly,Delta_LogGK_Weekly,Upside_Vol_Monthly,Downside_Vol_Monthly,RS_Monthly,Log Returns_Monthly,LogVolChange_Monthly,Delta_LogGK_Monthly
2020-01-01,13.724279835,13.847737839,13.667538424,13.693619904,177649772.56609115,2141378675.10134,,,,,0.0091570100549285,,,,,,,,,,,,,,,,
2020-01-02,13.703933462,13.721500675,13.001226383,13.013308475,174912372.79909655,2080825891.2056952,-0.0496809049593436,-0.050957461269325,-0.0154089685984607,-0.0155289205746607,0.0205125359283042,0.8065164957626405,0.0004082174806016,-0.0017720156977106,0.004182099662255,,,,,,,,,,,,
2020-01-03,13.009996359,13.736945996,12.994510502,13.614522762,173270934.2645118,2099184655.0098035,0.046199956617873,0.0451645104879925,-0.0093843477640664,-0.0094286581897237,0.0273255244618839,0.2867850194131045,0.0124794328535682,0.0138224922726922,0.000458215296311,,,,,,,,,,,,
2020-01-04,13.618305714,13.839830314,13.535682736,13.797020269,183405684.2468505,2130685207.8242323,0.0134046202125701,0.0133155731696369,0.0584907677987538,0.056844089588524,0.0134621768600067,-0.7079371881362642,-0.0103877539153818,-0.0149915170995528,0.0033370207692452,,,,,,,,,,,,
2020-01-05,13.803653613,14.295120001,13.800641864,14.007872696,196313694.89744088,2185743982.1117525,0.0152824612045947,0.0151668606802119,0.0703795561386044,0.0680133109368293,0.0231584130595031,0.5424740903865799,0.013811320447023,0.0195782968287349,-0.0089843351832098,,,,,,,,,,,,
2020-01-06,14.025292452,14.966374373,14.023331154,14.933361552,225622626.2593437,2258851963.958004,0.066069193808727,0.0639782334013894,0.1492964175383411,0.1391499443063127,0.0244454536763768,0.0540861253144391,-0.0143724653595408,-0.0146731831265885,0.0011619107783632,,,,,,,,,,,,
2020-01-07,14.934826172,15.112286987,14.493508253,14.9724062,219317582.4500793,2310890518.241884,0.0026145920236406,0.0026111799241203,-0.0279450865092627,-0.0283429807566599,0.0295209168571389,0.1886548031713903,0.0206010817371412,-0.0014947334934182,0.0282609360076685,,,,,,,,,,,,
2020-01-08,15.012655445,15.239093638,14.224586488,14.54924611,207596968.8226364,2301058663.3433595,-0.0282626642870535,-0.0286697417886032,-0.0534412859037908,-0.054922277402825,0.0446463970750026,0.4136745533614347,0.0107696247860041,0.0158538513275832,0.0036573245902309,0.04020279707135206,-0.010478858387732243,0.011590725911045596,0.06060915460542278,0.02193272546932906,0.14452960075705112,,,,,,
2020-01-09,14.528445782,14.54800599,14.251131093,14.415312741,190607721.9113158,2241846284.9259634,-0.0092055195154026,-0.0092481521489033,-0.0818376443917907,-0.0853810460381598,0.0137454122672313,-1.1780684963118904,-0.0284406333394317,-0.0228234113545325,-0.0200256326287759,0.023613464024260594,-0.06638969706129519,-0.010123291949857602,0.10231846372584445,0.011305666771503553,-0.13523583129544603,,,,,,
2020-01-10,14.359470969,15.032368699,14.063219267,15.032368699,174734743.94898695,2258119289.6881294,0.0428055893816976,0.0419147630376221,-0.0832756291464104,-0.0869484289488015,0.0375562898365686,1.0051357546712878,0.0220061265471544,-0.0035111374432212,0.0224153560233381,-0.054557758514349755,0.014146341528039421,-0.04777751967226367,0.09906871627547403,0.0010479234566329542,-0.4874959217501007,,,,,,
2020-01-11,15.0365732,15.27781941,14.762538091,14.927503012,222836749.19061127,2329919639.155029,-0.0069759922138534,-0.0070004382039002,0.2752858656185029,0.2431703618076961,0.0238346515762229,-0.454700399424226,-0.0133232774820859,0.0192149220147257,-0.0229767845715283,0.009325285402635962,-0.021124682485125182,0.0020644096343832297,0.07875270490193695,0.027822764131123296,-0.07468727635349692,,,,,,
2020-01-12,14.957592627,15.431629748,14.838420033,15.294583256,239621110.6610469,2368317270.663586,0.0245908671868904,0.024293378943214,0.0753213351540975,0.0726195333354294,0.0240114660123445,0.0073909963831257,-0.001134827181844,-0.0025318941391733,0.001266572993979,-0.019319123968428227,-0.0006548830276013212,-0.019288223298392786,0.08787922316493925,0.029691559929143647,-0.2561931223559806,,,,,,
2020-01-13,15.32490771,15.32490771,14.948192927,15.18620315,234243143.827556,2345548416.2530675,-0.0070861758170155,-0.0071114020029692,-0.0224436270187321,-0.0226993182164275,0.0166672869571985,-0.3650835332764579,-0.0029866818991192,-0.0166830278755523,0.0042654250145,-0.006291640237868622,0.06448465110235117,0.042320485260556984,0.01678958776058043,0.0058064559208543575,0.45872511765919555,,,,,,
2020-01-14,15.170037283,16.848679532,15.170037283,16.66128669,267020252.8481831,2465165007.0738907,0.0971331362704706,0.0927005378948719,0.1399277199112252,0.1309648568096671,0.0459451707935338,1.014000812794103,0.0144323308212153,0.0342608444042233,-0.019828513583008,0.013018147288330006,0.037270461397010915,0.039477053436869,0.10687894573133204,0.03153511931805909,0.530049471495559,,,,,,
2020-01-15,16.623428784,17.991863226,15.759475349,17.611378999,1227944970.790141,2671069407.809699,0.0570239457898673,0.0554573611157559,3.598696007857879,1.5257727867553414,0.0865313036090752,0.633057493611815,0.0530351235391783,0.0068591468486196,0.0770047552982381,0.031679616461152006,-0.019668854547596523,-0.002149125408369368,0.19100604863569126,0.5092264163103627,0.13954961800003618,,,,,,
2020-01-16,17.610523288,17.615666231,16.441584307,17.052657893,322629240.79782736,2619908292.2878323,-0.0317250060901945,-0.0322391474323867,-0.7372608313300666,-1.336593493024591,0.044480067170837,-0.6654650798284059,-0.0371373903156686,-0.0380402580156483,-0.0269408146540475,0.04235389840547277,-0.022181410855546424,0.017867430035364062,0.1680150533522078,0.050342516591083755,0.08285059210926371,,,,,,
2020-01-17,17.062281913,18.270022118,17.062281913,18.070840311,347782782.4573235,2770600227.7023487,0.0597081360799456,0.0579935268892378,0.0779642341075288,0.0750742939285449,0.0326287707444339,-0.3098467227392678,-0.022777862388853,0.0243009820016853,-0.0500639406441905,-0.06374879516724219,-0.0024038290099173687,-0.05040606690690058,0.18409381720382348,0.06236740932982322,-0.3359764084345025,,,,,,
2020-01-18,18.037916114,18.256102151,17.47182685,17.827310634,297355261.7214192,2781280590.0306425,-0.0134763891888171,-0.013568019886788,-0.1449971743270305,-0.1566505051701718,0.0301786156483188,-0.0780608548870103,0.0030827109938673,-0.0104759916839131,0.0253426648040056,0.023842807190985874,-0.022670661259774585,0.0033304984332751114,0.17752623552093552,0.025703325305304024,0.0037372724821094216,,,,,,
2020-01-19,17.81258353,18.426971771,16.812759031,17.329092889,286482519.84381443,2730073238.430361,-0.0279468819065621,-0.0283448277705812,-0.0365648208633047,-0.037250069844749,0.0625287570159445,0.7284929807276486,0.0314271563191522,0.0287358871867834,0.0164589961645913,0.03636173611030882,0.022336732508841432,0.042639143787085096,0.12488802880714026,0.01583174091607526,0.24974666445472637,,,,,,
2020-01-20,17.38056363,17.534129147,16.841792685,17.316010502,252245860.13878244,2679734890.650255,-0.000754937784903,-0.0007552228939347,-0.1195069762849658,-0.1272732741720578,0.0283922997175132,-0.7895085914826065,-0.0305137517788851,-0.0351470928783928,-0.0122315478100414,0.003562284819087186,-0.06065071530503278,-0.012508458196000105,0.13124420791617492,0.006016044803760592,-0.1391968591432402,,,,,,
2020-01-21,17.306932594,18.172410463,17.183941226,18.137100777,278345833.27770096,2739506641.0749207,0.0474179820406763,0.0463280709807964,0.1034703726140784,0.0984600977942598,0.026759384139163,-0.0592327509320549,-0.0094698576379939,-0.0007514741925646,-0.0099484909765118,-0.06956156861575133,0.08660031994291478,-0.014408596780456251,0.08487174100209935,0.0037662547426253272,-0.13411209413058867,,,,,,
