,Volume,Volatility,Returns,Upside_Vol,Downside_Vol,Volume_Weekly,Upside_Vol_Weekly,Downside_Vol_Weekly,Volume_Monthly,Upside_Vol_Monthly,Downside_Vol_Monthly,Stable_Volume,Stable_Volatility,Stable_Returns,Stable_Upside_Vol,Stable_Downside_Vol,Stable_Volume_Weekly,Stable_Upside_Vol_Weekly,Stable_Downside_Vol_Weekly,Stable_Volume_Monthly,Stable_Upside_Vol_Monthly,Stable_Downside_Vol_Monthly
2020-04-01,-0.024435205188580725,1.475302049136298,0.3769966011513535,-1.0612155185392882,1.9068501006845406,,,,,,,-1.044873086911969,0.18840065117909227,1.7206749841846005,0.1977880358658134,0.46523265612979037,,,,,,
2020-04-02,1.7073578523142936,0.9298008640800564,1.1045207242412933,3.820602155257915,-2.010672942675572,,,,,,,2.5546623970242184,1.6445268073935182,-1.1364348292802653,0.9647496991114669,0.7545587059922347,,,,,,
2020-04-03,0.2074241231492692,-1.6213467150035035,0.0038261197516252857,-1.9792067110044043,0.48552732104407886,,,,,,,0.7025000562191762,-1.8249671122648645,0.32987445342281607,-1.1122538525295875,-1.0681314739625627,,,,,,
2020-04-04,-1.8783030111774734,-1.0986352081220576,0.6543717442027177,-1.4108229331878466,-0.0911164853032351,,,,,,,-2.9445511745163993,-0.4438867581768855,-0.8522608833441745,-0.4940649053916121,0.05040518109303375,,,,,,
2020-04-05,-1.0838936128733185,-0.0739546490621187,-0.5546268421018468,0.07927835992547522,-0.14623875293139732,,,,,,,-0.7931542182347859,-0.12277589781303401,1.4483618406506455,-0.41434892371096094,0.19197480824370555,,,,,,
2020-04-06,2.1650884634276295,-0.8199222314687975,4.070633833256336,-0.344604436124867,-0.8329816407007953,,,,,,,1.3415969769730263,0.46109730480185196,-0.18908230768384238,0.019555668891234657,0.6818958810553619,,,,,,
2020-04-07,2.5875260776005686,2.6146939534917397,-1.010388152739472,2.1351721167802697,1.304766762325102,2.262346598819489,4.303727148012133,0.7818964050057255,,,,2.0490170506390744,0.8747141748806224,0.6798580505219728,0.654335223372445,0.3350974348602903,0.9408403473327539,-0.10450569485389427,-0.33826546556167436,,,
2020-04-08,-1.927828716309214,-1.7054819669477057,1.2034967852768088,-1.6439066546878527,-0.4578180686298577,0.9618247552542148,-2.2896019937956846,-2.347469860048026,,,,-0.46608752735298614,-0.7865279009634453,-0.48077037518438676,-0.8217426042954069,-0.17152829227799632,0.9968184022764244,0.2714575773135356,0.3458064625328052,,,
2020-04-09,-1.4021596978437219,0.3205165238011173,-0.59401129239081,-0.7124079301826802,0.5481367262655041,-0.5616960373658083,0.4661450891082576,1.3138407780911618,,,,-2.2147149083507465,-0.487809691975408,-0.07646652548051341,0.5830561118109159,-0.8431703487934782,-1.0524004915904883,-0.4953591400146179,-1.5158206680880442,,,
2020-04-10,0.7696292045111476,1.4203541222953504,-3.0761164664903156,0.20513413211527481,1.1733804431083732,-0.29671557623351197,2.7435918652581988,-0.7875958284895774,,,,0.5282355198770438,0.6301368495206652,0.04180191408586212,0.2542259885026449,0.8121703095805493,-1.1893595157526515,-0.444489412449104,1.3439311771853595,,,
