Coin,Variable,ADF Statistic,p-value,Number of Lags,Result
ETH,Log Returns_Monthly,-7.056190864875888,5.367659274319136e-10,17,Stationary
XRP,Log Returns_Monthly,-9.813284943226348,5.582996187910434e-17,25,Stationary
BNB,Upside_Vol,-14.343109535548491,1.0518943287305461e-26,19,Stationary
BTC,Upside_Vol,-12.821001139702782,6.153598438597102e-24,25,Stationary
ETH,Upside_Vol,-13.12217878221709,1.555049367789679e-24,24,Stationary
XRP,Upside_Vol,-13.778650484671529,9.386170717487806e-26,25,Stationary
BNB,Upside_Vol_Weekly,-15.480263366224696,2.561681898800944e-28,16,Stationary
BTC,Upside_Vol_Weekly,-15.304635122868191,4.266513402338607e-28,22,Stationary
ETH,Upside_Vol_Weekly,-14.508752768025628,5.770880931593327e-27,22,Stationary
XRP,Upside_Vol_Weekly,-16.34848469908122,2.94835070146802e-29,20,Stationary
BNB,Upside_Vol_Monthly,-12.090563022161371,2.127429122072464e-22,25,Stationary
BTC,Upside_Vol_Monthly,-13.676129812678719,1.429153592059521e-25,25,Stationary
ETH,Upside_Vol_Monthly,-13.21222264185978,1.041464698264167e-24,22,Stationary
XRP,Upside_Vol_Monthly,-14.051947304763251,3.165980741902336e-26,11,Stationary
BNB,Downside_Vol,-13.575308635660166,2.175340796285898e-25,24,Stationary
BTC,Downside_Vol,-14.343324029391322,1.0510636911065787e-26,20,Stationary
ETH,Downside_Vol,-13.964518305839857,4.4579150825304524e-26,24,Stationary
XRP,Downside_Vol,-13.224933189181918,9.8455381828788e-25,25,Stationary
BNB,Downside_Vol_Weekly,-13.874248945604117,6.381576752718834e-26,25,Stationary
BTC,Downside_Vol_Weekly,-13.871080691547554,6.463072557861686e-26,22,Stationary
ETH,Downside_Vol_Weekly,-13.895267747361986,5.867326475601811e-26,25,Stationary
XRP,Downside_Vol_Weekly,-14.099966942307212,2.629284281471691e-26,25,Stationary
BNB,Downside_Vol_Monthly,-10.439509122370698,1.535045976553412e-18,22,Stationary
BTC,Downside_Vol_Monthly,-15.978278072549912,6.881324719590774e-29,8,Stationary
ETH,Downside_Vol_Monthly,-15.224777629018545,5.422937037602857e-28,9,Stationary
XRP,Downside_Vol_Monthly,-18.966090544660908,0.0,5,Stationary
