Date,Actual_Y,VaR_Benchmark,VaR_Copula,Breach_Benchmark,Breach_Copula
2024-01-02,0.05964364545487786,-4.505755177220012,-2.748854000707034,False,False
2024-01-03,-1.9393303665201156,-4.2341814538305025,-2.582425106129527,False,False
2024-01-04,0.9865968435894604,-4.473306051095844,-2.5922412434674573,False,False
2024-01-05,-0.5026637392852693,-4.816687193045198,-3.3793047393177766,False,False
2024-01-06,-0.6408817430392396,-4.574180771710724,-2.764824638333904,False,False
2024-01-07,-0.5769756324468345,-4.519101521550177,-2.6687519670310533,False,False
2024-01-08,1.8387531010512155,-4.5442479166194065,-2.744604896742186,False,False
2024-01-09,-0.49443527499847917,-5.166276088007384,-3.218205102976569,False,False
2024-01-10,1.766429034555159,-4.756125040803293,-2.8325148938022013,False,False
2024-01-11,0.17357772989211875,-5.293781041058298,-4.024689801611491,False,False
2024-01-12,-2.420687125055202,-4.99209312842949,-3.018189309219855,False,False
2024-01-13,0.4129904189764999,-5.29325965214768,-3.1142797751388596,False,False
2024-01-14,-1.0090927113456059,-5.389319414392172,-3.3202655125376586,False,False
2024-01-15,1.0376618494532186,-5.303073524056815,-3.175150674775308,False,False
2024-01-16,0.3441614816922358,-5.511174703647313,-3.4292557739951324,False,False
2024-01-17,-0.7584826624667986,-5.311588370665486,-3.240909593601423,False,False
2024-01-18,-0.9008750743452414,-5.1353877094344105,-3.0868133902791928,False,False
2024-01-19,0.037279176512760366,-5.201552122309655,-3.1036502973890583,False,False
2024-01-20,0.07341571995712703,-5.09214467862515,-3.0848052768897793,False,False
2024-01-21,-0.19724793785378783,-4.879744627337778,-2.9552789793906014,False,False
2024-01-22,-2.2209595242999773,-4.672463492924322,-2.87854773971154,False,False
2024-01-23,-0.6323879067445911,-4.983448877678788,-3.232326935641278,False,False
2024-01-24,-0.13838156117660105,-5.194183281979705,-3.1168937072478227,False,False
2024-01-25,-0.35999364453139737,-5.0812227716907366,-3.1625003695531024,False,False
2024-01-26,1.4519919449290595,-4.898613259873736,-2.968415744624182,False,False
2024-01-27,0.15394275694608997,-5.287294644334808,-3.286952640075116,False,False
2024-01-28,-0.28858290027506883,-4.98979821078693,-3.059885101619048,False,False
2024-01-29,0.974173127960299,-4.784871814161039,-2.867096558027989,False,False
2024-01-30,-0.4977974575306704,-4.986436619046434,-3.0901416068698913,False,False
2024-01-31,-0.8232209492855206,-4.728163275383258,-2.841664505693513,False,False
2024-02-01,0.2079216920421509,-4.727826209383307,-2.8746744126526043,False,False
2024-02-02,0.10216949926083023,-4.675626959096433,-2.83745317025751,False,False
2024-02-03,-0.08359868555182098,-4.493731900972064,-2.777286259603672,False,False
2024-02-04,-0.2958955470780628,-4.281854062388523,-2.669388828454982,False,False
2024-02-05,-0.08186640713557058,-4.167548680307212,-2.505421524148128,False,False
2024-02-06,0.4580635867307678,-4.046451137720664,-2.453971356320158,False,False
2024-02-07,0.8784342073314038,-4.055221516209604,-2.4543337867423,False,False
2024-02-08,0.6017798692623618,-4.19209371831677,-2.6142688319415766,False,False
2024-02-09,1.0933260885088365,-4.165779944555434,-2.5477937046873924,False,False
2024-02-10,0.16989028651845342,-4.364455599800998,-2.878774375221382,False,False
2024-02-11,0.05879327339940207,-4.150242719030674,-2.7792533127467114,False,False
2024-02-12,1.3960782112294488,-3.9643713187533476,-2.3960975566225096,False,False
2024-02-13,-0.3953541716558293,-4.364790145014956,-2.7182833193658262,False,False
2024-02-14,1.546334149274455,-4.066927089943984,-2.431180239755345,False,False
2024-02-15,1.0636841036900042,-4.5271911020889135,-2.7813938299690397,False,False
2024-02-16,0.1490423810369193,-4.646135954736164,-2.843021065373908,False,False
2024-02-17,-0.6575749274949223,-4.378035302578858,-2.635980723946404,False,False
2024-02-18,0.39474391036629786,-4.327850609386901,-2.661343347312407,False,False
2024-02-19,0.18998130156916243,-4.345464113298739,-2.731739398282699,False,False
2024-02-20,0.4474682403484799,-4.200489959980671,-2.547977972809773,False,False
2024-02-21,0.08080341784982292,-4.152889212057914,-2.5878630499930235,False,False
2024-02-22,-0.19116318647843566,-3.962994767363504,-2.870990914854703,False,False
2024-02-23,-0.6452334641997108,-3.82434614997093,-2.4240718930190877,False,False
2024-02-24,0.715719526776621,-3.8264504716678065,-2.2768641380716925,False,False
2024-02-25,0.5670243492524113,-3.984598923983568,-2.43575337262293,False,False
2024-02-26,1.302039401965404,-3.9718197439148275,-2.4175569263251,False,False
2024-02-27,1.1546202063622206,-4.256801063584901,-2.630228621948704,False,False
2024-02-28,2.0669066438556243,-4.419182600013444,-2.703177189848345,False,False
2024-02-29,-0.7087817174175819,-4.989124858719265,-3.0943866892698297,False,False
2024-03-01,0.919728608782484,-4.653505774958332,-2.777000479307495,False,False
2024-03-02,0.38617114069771186,-4.830182250721531,-2.94712270289426,False,False
2024-03-03,0.2865766772094671,-4.707485403987783,-2.9547485880967734,False,False
