Date,Actual_Y,VaR_Benchmark,VaR_Copula,Breach_Benchmark,Breach_Copula
2024-01-02,0.026601019931636924,-19.332519053814565,-3.682590396992481,False,False
2024-01-03,1.3977394172825384,-19.704788914842037,-4.418287846032071,False,False
2024-01-04,-0.1799814236954504,-18.793059589293645,-3.630888550992411,False,False
2024-01-05,-0.15111689858617744,-19.596481481476047,-6.55277751794016,False,False
2024-01-06,-0.5059338715802356,-19.872233408909157,-4.332660906858616,False,False
2024-01-07,-0.27367874270536713,-19.977694464300534,-3.6038140297231878,False,False
2024-01-08,1.5598107423435907,-20.17501920246162,-4.386700253466117,False,False
2024-01-09,0.09118345616480288,-19.23270685978417,-4.049044868179663,False,False
2024-01-10,0.10997782838986003,-20.036383312146615,-3.539866678139547,False,False
2024-01-11,-0.0959803460466806,-17.418890408733855,-1.7533360627674355,False,False
2024-01-12,1.565637375021241,-20.59137399256063,-4.166707327554962,False,False
2024-01-13,0.040197422995050476,-19.05931031600738,-4.11804434480795,False,False
2024-01-14,-0.20839504889078228,-20.432634861936883,-4.5815775302206525,False,False
2024-01-15,0.5367424185614942,-2590324719.552003,-412553770.7835481,False,False
2024-01-16,0.01167955165313494,-17.796699029667614,-4.023525829147392,False,False
2024-01-17,0.008533377786673563,-17.23840393937316,-3.6408907844924934,False,False
2024-01-18,0.1064938912506222,-16.93641900460799,-3.642139795120744,False,False
2024-01-19,-0.2650127914025819,-21.48183513770146,-4.134816379040285,False,False
2024-01-20,-0.23610513887991957,-17.112424968263735,-3.4206209734286,False,False
2024-01-21,-0.2207116533714754,-21.755494611815347,-4.383927397227253,False,False
2024-01-22,1.3396351755750284,-21.89015720508872,-5.148479625089261,False,False
2024-01-23,0.05336304250300073,-21.435662852947548,-2.493726854146171,False,False
2024-01-24,-0.263950250560447,-21.742907228663807,-4.2234150956378285,False,False
2024-01-25,-2.009005990741212,-17.43536928600617,-4.175887468953994,False,False
2024-01-26,-1.316799372992554,-21.207839360814976,-4.586653247805577,False,False
2024-01-27,-0.024453928598534846,-19.756330098524675,-4.332280298556734,False,False
2024-01-28,-0.36448516504546696,-21.089783761266204,-4.688628309279959,False,False
2024-01-29,0.32230650288719864,-17.820217429778772,-3.6126263041414424,False,False
2024-01-30,0.20881192456081887,-21.286186702692863,-4.685351650980388,False,False
2024-01-31,-0.2262003813504686,-21.45982446242939,-4.402392633524011,False,False
2024-02-01,-0.03826337738062062,-21.6159296850542,-4.934012059342963,False,False
2024-02-02,-1.7483055223258899,-160.9991816467992,-76.81348117121271,False,False
2024-02-03,-0.40313309037943545,-19.329348212026137,-4.552952974095091,False,False
2024-02-04,0.022658550692341607,-9896858.353722952,-1497482.7376098763,False,False
2024-02-05,-0.2545571568522363,-17.4366733852275,-3.642489651444079,False,False
2024-02-06,-0.006219512270021396,-17.34208310664668,-3.783958728069903,False,False
2024-02-07,-1.2499250661197747,-16.936357200876945,-3.3069097053537115,False,False
2024-02-08,0.3345731028054779,-18.557881367621818,-4.376082602994406,False,False
2024-02-09,-2.234053674825981,-17.985508377276453,-3.8759459981231594,False,False
2024-02-10,-0.04702272741473903,-20.9023962406239,-5.983413531432605,False,False
2024-02-11,-2.992086174372103,-18.41669350045097,-5.656202118565651,False,False
2024-02-12,1.3099555462142929,-19.989351050988603,-4.298579214607286,False,False
2024-02-13,-0.6101743076138127,-19.450148114584838,-4.207779766850855,False,False
2024-02-14,0.07956200571432315,-19.40043640575945,-3.909623889776726,False,False
