Source_Factor,Target_Factor,Benchmark_LL,Copula_Type,Copula_Params,Copula_Part_LL,AG_Statistic,AG_p_value
Stable_Volume,Crypto_Returns,-2536.666252097757,gaussian,{'rho': np.float64(0.045047711271849054)},1.4744373811629314,0.8976015411752846,0.3695467197982272
Stable_Volume,Crypto_Volatility,-1826.4051331445276,gaussian,{'rho': np.float64(0.0030183627186875666)},0.00647351922293533,0.060185482793261906,0.952016352955781
Stable_Volatility,Crypto_Returns,-2487.89736357789,gumbel,{'theta': np.float64(1.0083867345400002)},0.27911263959621363,0.3835391636763121,0.7013772503290541
Stable_Volatility,Crypto_Volatility,-1824.353903605394,gumbel,{'theta': np.float64(1.0284398790654925)},2.710433358953043,0.9802943617691015,0.32710700089859346
