Source_Factor,Target_Factor,OOS_Days,Mean_OOS_LL_Bench,Mean_OOS_LL_Copula_Part,AG_Statistic,AG_p_value
Stable_Volume,Crypto_Returns,366,-1.6237598759283356,-0.0007365212487570596,-0.20893895380027688,0.8346124492520903
Stable_Volume,Crypto_Volatility,366,-2.1544948522531246,-0.00876731438254902,-1.737821785555228,0.08308562842561695
Stable_Volatility,Crypto_Returns,366,-1.623948357169375,0.08574092017583118,5.158316951492341,4.096942479562045e-07
Stable_Volatility,Crypto_Volatility,363,-3.9622356455726297,0.6002097889323184,11.92378236466765,7.127936489061215e-28
