Date,Actual_Y,VaR_Benchmark,VaR_Copula,Breach_Benchmark,Breach_Copula
2024-01-02,0.05964364545487786,-2.4764042343120267,-1.6378303058813852,False,False
2024-01-03,-1.9393303665201156,-2.2727310357607218,-1.5322776182805975,False,True
2024-01-04,0.9865968435894604,-2.2993031680477003,-1.406667997177261,False,False
2024-01-05,-0.5026637392852693,-2.6405087146678623,-2.1805783184402006,False,False
2024-01-06,-0.6408817430392396,-2.4428842588914104,-1.6201932893533142,False,False
2024-01-07,-0.5769756324468345,-2.3900968868715857,-1.4874669300664984,False,False
2024-01-08,1.8387531010512155,-2.4210211813525957,-1.6013031383809113,False,False
2024-01-09,-0.49443527499847917,-2.8765295815246272,-1.9798763714340386,False,False
2024-01-10,1.766429034555159,-2.5324364064903646,-1.59091694567477,False,False
2024-01-11,0.17357772989211875,-2.9246348742254487,-2.2141922695633927,False,False
2024-01-12,-2.420687125055202,-2.6916318446097294,-1.7660464439660195,False,True
2024-01-13,0.4129904189764999,-2.716060356957609,-1.7233350431027221,False,False
2024-01-14,-1.0090927113456059,-2.925379433698428,-1.9960119705554689,False,False
2024-01-15,1.0376618494532186,-2.8236862871727624,-1.8234968247738992,False,False
2024-01-16,0.3441614816922358,-3.021126212438943,-2.0875841881815367,False,False
2024-01-17,-0.7584826624667986,-2.8803618599271332,-1.9228012602020896,False,False
2024-01-18,-0.9008750743452414,-2.7192560414525024,-1.778593690456177,False,False
2024-01-19,0.037279176512760366,-2.75998559932333,-1.7593063290436675,False,False
2024-01-20,0.07341571995712703,-2.753818287626906,-1.8050761322975206,False,False
2024-01-21,-0.19724793785378783,-2.636881845516616,-1.732870824012603,False,False
2024-01-22,-2.2209595242999773,-2.503472861883844,-1.7149476114296476,False,True
2024-01-23,-0.6323879067445911,-2.57260587335651,-1.6295693673902385,False,False
2024-01-24,-0.13838156117660105,-2.7768086115534567,-1.789639319595841,False,False
2024-01-25,-0.35999364453139737,-2.7480202508594695,-1.909253197902183,False,False
2024-01-26,1.4519919449290595,-2.624933379152297,-1.7390302828411028,False,False
2024-01-27,0.15394275694608997,-2.921378075986369,-2.006183002335067,False,False
2024-01-28,-0.28858290027506883,-2.691287418657095,-1.8203983355419053,False,False
2024-01-29,0.974173127960299,-2.5498024077323374,-1.6481572843483396,False,False
2024-01-30,-0.4977974575306704,-2.732059800431968,-1.8733638630523028,False,False
2024-01-31,-0.8232209492855206,-2.5200018512805467,-1.64097002725305,False,False
2024-02-01,0.2079216920421509,-2.501481727795736,-1.674344064480732,False,False
2024-02-02,0.10216949926083023,-2.534613085448584,-1.668594427938429,False,False
2024-02-03,-0.08359868555182098,-2.429080310734631,-1.6679544331425022,False,False
2024-02-04,-0.2958955470780628,-2.296364807531868,-1.6059764664816505,False,False
2024-02-05,-0.08186640713557058,-2.22563542271327,-1.4540557313640485,False,False
2024-02-06,0.4580635867307678,-2.1720025872845343,-1.445089737211626,False,False
2024-02-07,0.8784342073314038,-2.2036386912847488,-1.4419828800028887,False,False
2024-02-08,0.6017798692623618,-2.2954188149895307,-1.5971496401035385,False,False
2024-02-09,1.0933260885088365,-2.26239445526221,-1.5201390736783924,False,False
2024-02-10,0.16989028651845342,-2.3914998960419904,-1.8119704012920086,False,False
2024-02-11,0.05879327339940207,-2.2308580146957904,-1.7332699510228735,False,False
2024-02-12,1.3960782112294488,-2.1231066527463605,-1.3990907027431265,False,False
2024-02-13,-0.3953541716558293,-2.411946323203836,-1.6631131047244037,False,False
2024-02-14,1.546334149274455,-2.1615237584220712,-1.38997073041488,False,False
2024-02-15,1.0636841036900042,-2.499699827585345,-1.6521003609753202,False,False
2024-02-16,0.1490423810369193,-2.5493728995535516,-1.67077793676351,False,False
2024-02-17,-0.6575749274949223,-2.344043859136276,-1.5237925466796955,False,False
2024-02-18,0.39474391036629786,-2.289902435841386,-1.563287569395211,False,False
2024-02-19,0.18998130156916243,-2.3591631809863842,-1.6627427034417572,False,False
2024-02-20,0.4474682403484799,-2.2723305914739504,-1.4941905183908277,False,False
2024-02-21,0.08080341784982292,-2.249827307178545,-1.5643528617580846,False,False
2024-02-22,-0.19116318647843566,-2.129175193394506,-1.8368410886713413,False,False
2024-02-23,-0.6452334641997108,-2.0401456516552376,-1.4660945509955916,False,False
2024-02-24,0.715719526776621,-2.0264623320062105,-1.294394614360533,False,False
2024-02-25,0.5670243492524113,-2.1802068257634537,-1.4528592090090195,False,False
2024-02-26,1.302039401965404,-2.1644900841271633,-1.427321138861822,False,False
2024-02-27,1.1546202063622206,-2.3434042533861605,-1.5911758615169118,False,False
2024-02-28,2.0669066438556243,-2.422982892913476,-1.592180078414795,False,False
2024-02-29,-0.7087817174175819,-2.7662316246216814,-1.8785462509109092,False,False
2024-03-01,0.919728608782484,-2.4567143481361207,-1.5726126432484613,False,False
2024-03-02,0.38617114069771186,-2.6337110198572806,-1.7330716101673127,False,False
2024-03-03,0.2865766772094671,-2.556818629337006,-1.7941362181474858,False,False
2024-03-04,1.8561452229297726,-2.4489908710934487,-1.6324603396240225,False,False
2024-03-05,-2.459792736099671,-2.81854321579539,-1.8674970320921507,False,True
2024-03-06,2.242192746524129,-2.6650492755761404,-1.5955690734621033,False,False
2024-03-07,1.4172875286245339,-3.3714867103215855,-2.347303557314919,False,False
2024-03-08,0.42314433074036717,-3.4495185085021163,-2.3763740190595044,False,False
2024-03-09,0.16229284683516257,-3.1714317513252706,-2.1476580988248655,False,False
2024-03-10,0.5435591818911267,-3.020492954050941,-2.003946687083471,False,False
2024-03-11,2.2432638951561517,-3.0068163641099344,-2.1027712908030884,False,False
2024-03-12,-0.4850543347104234,-3.4381838299766962,-2.302813856269571,False,False
2024-03-13,1.9229195127442527,-3.0158752672180085,-2.0308849152910198,False,False
2024-03-14,-1.409947589457281,-3.414222153218881,-2.303401936801504,False,False
2024-03-15,-0.8939726442109316,-3.1611299052038158,-2.09341734192779,False,False
2024-03-16,-2.861208275522925,-3.224460529640315,-2.20179963669313,False,True
2024-03-17,1.2078731608973676,-3.4924672301270294,-2.1762101750134777,False,False
2024-03-18,-0.7000695868498253,-3.8652382058744412,-2.700886863406543,False,False
2024-03-19,-4.160464078037441,-3.541640805738116,-2.369269435832423,True,True
2024-03-20,3.6259615106351983,-3.8006368341368777,-2.427201347741638,False,False
2024-03-21,-0.31506137368627896,-5.063502474314398,-3.612690237192525,False,False
2024-03-22,-1.5259039258342078,-4.3545872045231055,-2.960893656454178,False,False
2024-03-23,0.3548327896021666,-4.133179428874874,-2.7267558289365534,False,False
2024-03-24,1.3832126071311626,-4.185059523548664,-2.750497484187481,False,False
2024-03-25,1.3113212082194776,-4.312238896685785,-2.835860523654171,False,False
2024-03-26,-0.23255673706744073,-4.269966578318211,-2.8037600160723275,False,False
2024-03-27,-0.8059417439939446,-3.8764398634339807,-2.6796790157224017,False,False
2024-03-28,0.6639310684364903,-3.7725820195737283,-2.4963008329097396,False,False
2024-03-29,0.19962970518983408,-3.8364790120628083,-2.697044401366168,False,False
2024-03-30,-0.4186123154970396,-3.624282361925466,-2.45204135443728,False,False
2024-03-31,0.8453175925552899,-3.4094485279170135,-2.3179175795388387,False,False
2024-04-01,-1.5466522241409772,-3.497749038359108,-2.4359712121464976,False,False
2024-04-02,-2.5367527021941636,-3.333338543909486,-2.111532389197218,False,True
2024-04-03,0.2725408519563414,-3.546191952229207,-2.316773511592117,False,False
2024-04-04,1.0866927457313513,-3.6923852022763146,-2.719725541651493,False,False
2024-04-05,-0.3410911084835934,-3.770183686933815,-2.9639458588709133,False,False
2024-04-06,0.44531252293207596,-3.397071855586304,-2.2969987026573633,False,False
2024-04-07,0.3399636545099593,-3.349058481587868,-2.288613876012205,False,False
2024-04-08,1.469134026461381,-3.244608854479455,-2.5521268491076805,False,False
2024-04-09,-1.2918050271238943,-3.4329476579163676,-2.3243751398611843,False,False
2024-04-10,0.8315689141506204,-3.1753049445336625,-2.0851563123541874,False,False
2024-04-11,-0.4189830364514907,-3.3255790885715237,-2.3359607862956167,False,False
2024-04-12,-2.5468323313784467,-3.1344851193913295,-2.0831788945171494,False,True
2024-04-13,-3.247926411785534,-3.193736135188573,-2.0711087190704394,True,True
2024-04-14,1.2654473654078244,-3.6661135838319145,-2.254334360800372,False,False
2024-04-15,-1.0496718643936498,-4.115914300254512,-2.827265429934844,False,False
2024-04-16,-0.3998096921953358,-3.790710570852888,-2.983008174527987,False,False
2024-04-17,-1.0455146557427222,-3.6466824126230306,-2.460597260362187,False,False
2024-04-18,1.1299356038344857,-3.6230644181711393,-2.3782158656735355,False,False
2024-04-19,0.15930480815471315,-3.81329215536903,-2.612101949361451,False,False
2024-04-20,1.085988112606735,-3.556669654969085,-2.429514741871273,False,False
2024-04-21,0.011933538196143172,-3.6091539815291704,-2.371517617417675,False,False
2024-04-22,1.4335118383841399,-3.336999233938109,-2.2469678658145105,False,False
2024-04-23,-0.22331156875668554,-3.5343139812161204,-2.6241948102366486,False,False
2024-04-24,-1.0553506555977066,-3.216941574388163,-2.570814400614952,False,False
2024-04-25,0.11253322859692208,-3.1381670191689475,-2.3557557294017037,False,False
2024-04-26,-0.5625771648325284,-3.144373449145911,-2.0995894572084133,False,False
2024-04-27,0.19237746020089708,-3.016517765402291,-2.0347035896962002,False,False
2024-04-28,-0.24161563480936893,-2.938824001022922,-2.1102990317938843,False,False
2024-04-29,-0.09672690794173416,-2.792210542790229,-1.9134043258947881,False,False
2024-04-30,-1.9579978160892562,-2.6712101078853405,-1.7968704248822598,False,True
2024-05-01,-0.8846699221796799,-2.7288661445952416,-1.8131429288259069,False,False
2024-05-02,0.23438311286290503,-2.898088334706728,-2.2870479813720386,False,False
2024-05-03,1.8557336926132033,-2.9162423368489607,-1.9393796823630625,False,False
2024-05-04,0.2040074176849706,-3.244383279408108,-2.202289321621466,False,False
2024-05-05,0.14767634886807496,-2.945944234521303,-1.965888375793672,False,False
2024-05-06,-0.4443532131911894,-2.793127445252275,-1.864788832493946,False,False
2024-05-07,-0.8554115112408749,-2.710241759012928,-1.8014620595550646,False,False
2024-05-08,-0.41704139765600196,-2.6971359536422295,-1.9739882107972502,False,False
2024-05-09,0.7759829189946286,-2.7064805896108917,-2.0198150167755586,False,False
2024-05-10,-1.5207185147188844,-2.816449831378822,-1.9012435067317093,False,False
