Test,Source,Target,OOS_Days,MSE_Benchmark,MSE_Challenger,DM_MSE_Stat,DM_MSE_P_Value,Benchmark_Directional_Acc,Challenger_Directional_Acc,DM_Directional_Stat,DM_Directional_P_Value
GARCH,Stable_Volume,Crypto_Volatility,366,2.5101289009079775,2.2849514083151887,4.752676982502189,2.0074091902078095e-06,0.6502732240437158,0.6885245901639344,2.0763086698050683,0.03786541197126181
VOL,Stable_Volume,Crypto_Volatility,366,5.721234840272129e-05,3.142382088790885e-05,4.757997430730251,1.955229868677577e-06,,,,
