Test,Source,Target,OOS_Days,MSE Benchmark,MSE Challenger,Sharpe Benchmark,Sharpe Challenger
GARCH,Crypto_Volatility,Stable_Volatility,366,0.06244253055282027,0.06249630818390063,2.3164798728722698,2.9356911705030346
RAW,Crypto_Volatility,Stable_Volatility,366,0.5910278545087996,0.5820433017317018,4.499522521862603,4.650464884344534
