Test,Source,Target,OOS_Days,MSE Benchmark,MSE Challenger,Sharpe Benchmark,Sharpe Challenger
GARCH,Crypto_Returns,Stable_Volatility,366,0.06244253055282027,0.06218394023837985,2.3164798728722698,2.517881240819018
RAW,Crypto_Returns,Stable_Volatility,366,0.5910278545087996,0.5783055548786954,4.499522521862603,4.374173058124676
