Test,Source,Target,OOS_Days,MSE Benchmark,MSE Challenger,Sharpe Benchmark,Sharpe Challenger
GARCH,Stable_Volume,Crypto_Returns,366,0.08372088046700098,0.08413770393928197,0.0,1.2062169852158813
RAW,Stable_Volume,Crypto_Returns,366,1.3274939864301205,1.310582370340647,1.010559289300109,0.667131890413772
