Test,Source,Target,OOS_Days,MSE Benchmark,MSE Challenger,Sharpe Benchmark,Sharpe Challenger
GARCH,Stable_Volatility,Crypto_Volatility,366,0.06699096651407521,0.06676850077898203,3.6449195098878344,3.7265797440840247
RAW,Stable_Volatility,Crypto_Volatility,366,0.9627709762431299,0.946708967760154,5.348782140701425,5.149501257530796
