Test,Source,Target,OOS_Days,MSE Benchmark,MSE Challenger,Sharpe Benchmark,Sharpe Challenger
GARCH,Crypto_Returns,Stable_Volume,366,0.07163063713761768,0.060357872949599996,7.935961928917809,8.986352996488058
RAW,Crypto_Returns,Stable_Volume,366,1.9257981582124797,1.6449888482665969,8.210172405634413,10.607299084685662
