Test,Source,Target,OOS_Days,MSE Benchmark,MSE Challenger,Sharpe Benchmark,Sharpe Challenger
GARCH,Stable_Volatility,Crypto_Returns,366,0.08366304812830257,0.08469973848080696,0.0,0.8297738186782796
RAW,Stable_Volatility,Crypto_Returns,366,1.3379791333478819,1.353095083416658,0.22955556579313666,0.9411820394354468
