Test,Source,Target,OOS_Days,MSE Benchmark,MSE Challenger,Sharpe Benchmark,Sharpe Challenger
GARCH,Crypto_Returns,Stable_Volatility,366,0.0624425305528202,0.0621839402383798,2.3164798728722698,2.517881240819018
GARCH,Crypto_Returns,Stable_Volume,366,0.0716306371376176,0.0603578729495999,7.935961928917809,8.986352996488058
GARCH,Crypto_Volatility,Stable_Volatility,366,0.0624425305528202,0.0624963081839006,2.3164798728722698,2.935691170503034
GARCH,Crypto_Volatility,Stable_Volume,366,0.0709813844323957,0.062485490970994,8.066485327326506,9.038423155027042
GARCH,Stable_Volatility,Crypto_Returns,366,0.0836630481283025,0.0846997384808069,0.0,0.8297738186782796
GARCH,Stable_Volatility,Crypto_Volatility,366,0.0669909665140752,0.066768500778982,3.6449195098878335,3.7265797440840247
GARCH,Stable_Volume,Crypto_Returns,366,0.0837208804670009,0.0841377039392819,0.0,1.2062169852158813
GARCH,Stable_Volume,Crypto_Volatility,366,0.0655075217504582,0.0644988218280708,3.970018274791357,4.554738582335191
